"COD_ACC","COD_ENTE","DES_ACC","FLG_BONUS_MALUS_ANNUALE","FLG_RATEIZZAZIONE","DAT_INI","DAT_FIN","FLG_SOSP","COD_SPESE","FLG_ACC_BR"
"0002","0002","PIANO SANITARIO SILVER","N","A","2022-01-01 00:00:00.0","2022-12-31 00:00:00.0","S","Z","N"
"0001","0001","A&C SERVICE SRL","N","A","2022-01-01 00:00:00.0","2022-12-31 00:00:00.0","S","Z","N"
"0003","0003","FONDO MPT","N","A","2022-01-01 00:00:00.0","2022-12-31 00:00:00.0","S","Z","N"
"0004","0003","EBIPRO 2023","N","A","2023-01-01 00:00:00.0","2025-12-31 00:00:00.0","D","Z","N"
"0005","0004","AON S.P.A","N","A","2023-01-01 00:00:00.0","2023-12-31 00:00:00.0","D","Z","N"
"0013","0011","TECHNIP","N","A","2023-01-01 00:00:00.0","2023-12-31 00:00:00.0","D","Z","N"
"0007","0005","AON HEWITT","N","A","2023-01-01 00:00:00.0","2023-12-31 00:00:00.0","D","Z","N"
"0008","0006","AON ITALIA","N","A","2023-01-01 00:00:00.0","2023-12-31 00:00:00.0","D","Z","N"
"0009","0007","US","N","A","2023-01-01 00:00:00.0","2023-12-31 00:00:00.0","D","Z","N"
"0010","0008","GLOBAL SAFE IMPIEGATI","N","A","2023-01-01 00:00:00.0","2023-12-31 00:00:00.0","D","Z","N"
"0011","0009","MUTUA MED IMPIEGATI","N","A","2023-01-01 00:00:00.0","2023-12-31 00:00:00.0","D","Z","N"
"0012","0010","PREVILINE IMPIEGATI","N","A","2023-01-01 00:00:00.0","2023-12-31 00:00:00.0","D","Z","N"
"0014","0002","PIANO SANITARIO SILVER","N","A","2023-01-01 00:00:00.0","2023-12-31 00:00:00.0","S","Z","N"
"0172","0002","PIANO SANITARIO SILVER","N","A","2024-01-01 00:00:00.0","2024-12-31 00:00:00.0","S","Z","N"
"0028","0025","FONDAZIONE ADECCO","N","A","2023-01-01 00:00:00.0","2023-12-31 00:00:00.0","D","Z","N"
"0179","0038","C.A.S.S.A. 2025","N","A","2025-01-01 00:00:00.0","2025-12-31 00:00:00.0","D","Z","N"
"0016","0013","CASINO DE LA VALLEE","N","A","2023-01-01 00:00:00.0","2023-12-31 00:00:00.0","D","Z","N"
"0026","0023","ADECCO ITALIA HOLDING","N","A","2023-01-01 00:00:00.0","2023-12-31 00:00:00.0","D","Z","N"
"0027","0024","ADECCO ITALIA SPA 2023","N","A","2023-01-01 00:00:00.0","2023-12-31 00:00:00.0","D","Z","N"
"0154","0025","FONDAZIONE ADECCO 2024","N","A","2024-01-01 00:00:00.0","2024-12-31 00:00:00.0","D","Z","N"
"0155","0022","ADECCO FORMAZIONE 2024","N","A","2024-01-01 00:00:00.0","2024-12-31 00:00:00.0","D","Z","N"
"0157","0027","LEE HECHT HARRISSON 2024","N","A","2024-01-01 00:00:00.0","2024-12-31 00:00:00.0","D","Z","N"
"0056","0052","PALLADINI & PARTNERS","N","A","2023-01-01 00:00:00.0","2023-12-31 00:00:00.0","D","Z","N"
"0185","0020","FASDAPI 2025","N","A","2025-01-01 00:00:00.0","2025-12-31 00:00:00.0","D","Z","N"
"0189","0022","ADECCO FORMAZIONE 2025","N","A","2025-01-01 00:00:00.0","2025-12-31 00:00:00.0","D","Z","N"
"0190","0023","ADECCO ITALIA HOLDING","N","A","2025-01-01 00:00:00.0","2025-12-31 00:00:00.0","D","Z","N"
"0191","0024","ADECCO ITALIA SPA 2025","N","A","2025-01-01 00:00:00.0","2025-12-31 00:00:00.0","D","Z","N"
"0192","0025","FONDAZIONE ADECCO 2025","N","A","2025-01-01 00:00:00.0","2025-12-31 00:00:00.0","D","Z","N"
"0108","0052","PALLADINI & PARTNERS 2024","N","A","2024-01-01 00:00:00.0","2024-12-31 00:00:00.0","D","Z","N"
"0137","0031","MODIS 2024","N","A","2024-01-01 00:00:00.0","2024-12-31 00:00:00.0","D","Z","N"
"0169","0064","EPIKARD","N","A","2024-01-01 00:00:00.0","2024-12-31 00:00:00.0","S","Z","N"
"0170","0071","CADIPROF","N","A","2024-01-01 00:00:00.0","2024-12-31 00:00:00.0","S","Z","N"
"0204","0076","RO.S.S. 2025","N","A","2025-01-01 00:00:00.0","2025-12-31 00:00:00.0","D","Z","N"
"0017","0015","SIGEMI","N","A","2023-01-01 00:00:00.0","2023-12-31 00:00:00.0","D","Z","N"
"0036","0033","FONDO TUTELA TINABA SRL","N","A","2023-01-01 00:00:00.0","2023-12-31 00:00:00.0","D","Z","N"
"0078","0034","COMUNE DI BOLOGNA 2024","N","A","2024-01-01 00:00:00.0","2024-12-31 00:00:00.0","D","Z","N"
"0176","0063","NEXO 2025","N","A","2025-01-01 00:00:00.0","2025-12-31 00:00:00.0","D","Z","N"
"0171","0001","A&C SERVICE SRL","N","A","2024-01-01 00:00:00.0","2024-12-31 00:00:00.0","S","Z","N"
"0180","0072","SITAF 2025","N","A","2025-01-01 00:00:00.0","2025-12-31 00:00:00.0","D","Z","N"
"0165","0068","SPORT E SALUTE 2024","N","A","2024-07-01 00:00:00.0","2025-06-30 00:00:00.0","D","Z","N"
"0067","0063","NEXO","N","A","2023-01-01 00:00:00.0","2023-12-31 00:00:00.0","S","Z","N"
"0193","0059","STUDIO DIANA SRL 2025","N","A","2025-01-01 00:00:00.0","2025-12-31 00:00:00.0","D","Z","N"
"0194","0026","PROFESSIONAL VALUES 2025","N","A","2025-01-01 00:00:00.0","2025-12-31 00:00:00.0","D","Z","N"
"0195","0027","LEE HECHT HARRISSON 2025","N","A","2025-01-01 00:00:00.0","2025-12-31 00:00:00.0","D","Z","N"
"0196","0028","PROFESSIONAL SOLUTIONS","N","A","2025-01-01 00:00:00.0","2025-12-31 00:00:00.0","D","Z","N"
"0197","0030","MODIS CONSULTING S.R.L.","N","A","2025-01-01 00:00:00.0","2025-12-31 00:00:00.0","D","Z","N"
"0198","0031","MODIS 2025","N","A","2025-01-01 00:00:00.0","2025-12-31 00:00:00.0","D","Z","N"
"0199","0045","AQUILEIA CAPITAL SERVICES","N","A","2025-01-01 00:00:00.0","2025-12-31 00:00:00.0","D","Z","N"
"0200","0046","JULIA PORTFOLIO SOLUTIONS","N","A","2025-01-01 00:00:00.0","2025-12-31 00:00:00.0","D","Z","N"
"0201","0047","NATISSA SGR 2025","N","A","2025-01-01 00:00:00.0","2025-12-31 00:00:00.0","D","Z","N"
