"COD_NUC","COD_ACC","RATEIZZAZIONE"
"000278","0004","A"
"000939","0004","A"
"000028","0003","A"
"000027","0003","A"
"000026","0003","A"
"000025","0003","A"
"000024","0003","A"
"000023","0003","A"
"000022","0003","A"
"000021","0003","A"
"000020","0003","A"
"000078","0003","A"
"000077","0003","A"
"000076","0003","A"
"000075","0003","A"
"000074","0003","A"
"000073","0003","A"
"000072","0003","A"
"000071","0003","A"
"000070","0003","A"
"000069","0003","A"
"000068","0003","A"
"000067","0003","A"
"000066","0003","A"
"000065","0003","A"
"000064","0003","A"
"000063","0003","A"
"000062","0003","A"
"000061","0003","A"
"000060","0003","A"
"000059","0003","A"
"000058","0003","A"
"000057","0003","A"
"000056","0003","A"
"000055","0003","A"
"000054","0003","A"
"000053","0003","A"
"000052","0003","A"
"000051","0003","A"
"000050","0003","A"
"000940","0004","A"
"000941","0004","A"
"000942","0004","A"
"000943","0004","A"
"000944","0004","A"
"000945","0004","A"
"000946","0004","A"
"000947","0004","A"
"000948","0004","A"
"000949","0004","A"
"000950","0004","A"
"000951","0004","A"
"000952","0004","A"
"000953","0004","A"
"001209","0004","A"
"001210","0004","A"
"001211","0004","A"
"001212","0004","A"
"001213","0004","A"
"001214","0004","A"
"001215","0004","A"
"001216","0004","A"
"001217","0004","A"
"001218","0004","A"
"001219","0004","A"
"001220","0004","A"
"001221","0004","A"
"001222","0004","A"
"001223","0004","A"
"001224","0004","A"
"001225","0004","A"
"001226","0004","A"
"001227","0004","A"
"001228","0004","A"
"001229","0004","A"
"001230","0004","A"
"001231","0004","A"
"001232","0004","A"
"001233","0004","A"
"001234","0004","A"
"001235","0004","A"
"001236","0004","A"
"001237","0004","A"
"001238","0004","A"
"001239","0004","A"
"001240","0004","A"
"001241","0004","A"
"001242","0004","A"
"001243","0004","A"
"001244","0004","A"
"001245","0004","A"
"001246","0004","A"
"001247","0004","A"
"001248","0004","A"
"001249","0004","A"
"001250","0004","A"
"001251","0004","A"
"001252","0004","A"
"001253","0004","A"
"001254","0004","A"
"001255","0004","A"
"001256","0004","A"
"001257","0004","A"
"001258","0004","A"
"001259","0004","A"
"001260","0004","A"
"001261","0004","A"
"001262","0004","A"
"001263","0004","A"
"001264","0004","A"
"001265","0004","A"
"001266","0004","A"
"001267","0004","A"
"001268","0004","A"
"001269","0004","A"
"001270","0004","A"
"001271","0004","A"
"001272","0004","A"
"001273","0004","A"
"001274","0004","A"
"001275","0004","A"
"001276","0004","A"
"001277","0004","A"
"001278","0004","A"
"001279","0004","A"
"001280","0004","A"
"001281","0004","A"
"001282","0004","A"
"001283","0004","A"
"001284","0004","A"
"001285","0004","A"
"001286","0004","A"
"001287","0004","A"
"001288","0004","A"
"001289","0004","A"
"001290","0004","A"
"001291","0004","A"
"001292","0004","A"
"001293","0004","A"
"001294","0004","A"
"001295","0004","A"
"001296","0004","A"
"001297","0004","A"
"001298","0004","A"
"001299","0004","A"
"001300","0004","A"
"001301","0004","A"
"001302","0004","A"
"001303","0004","A"
"001304","0004","A"
"001305","0004","A"
"001306","0004","A"
"001307","0004","A"
"001579","0004","A"
"001580","0004","A"
"001653","0004","A"
"000965","0004","A"
"000966","0004","A"
"000967","0004","A"
"000968","0004","A"
"000969","0004","A"
"000970","0004","A"
"000971","0004","A"
"000972","0004","A"
"000993","0004","A"
"000994","0004","A"
"000995","0004","A"
"000996","0004","A"
"000997","0004","A"
"000998","0004","A"
"000999","0004","A"
"001000","0004","A"
"001001","0004","A"
"001002","0004","A"
"001003","0004","A"
"001004","0004","A"
"001005","0004","A"
"001006","0004","A"
"001007","0004","A"
"001008","0004","A"
"001009","0004","A"
"001010","0004","A"
"001011","0004","A"
"001012","0004","A"
"001106","0004","A"
"001107","0004","A"
"001108","0004","A"
"001109","0004","A"
"001110","0004","A"
"001660","0004","A"
"001686","0004","A"
"001687","0004","A"
"001688","0004","A"
"001689","0004","A"
"001690","0004","A"
"001691","0004","A"
"001692","0004","A"
"001693","0004","A"
"001694","0004","A"
"001695","0004","A"
"001696","0004","A"
"001697","0004","A"
"001698","0004","A"
"001699","0004","A"
"001700","0004","A"
"001701","0004","A"
"001702","0004","A"
"001703","0004","A"
"001704","0004","A"
"001705","0004","A"
"001706","0004","A"
"001707","0004","A"
"001708","0004","A"
