"TIPO_PAGAMENTO","PRG_ASSEGNO","NUM_ASSEGNO_BONIFICO","DAT_PAGAMENTO","IMPORTO","COD_ENTE_INTEST","DAT_ADDEBITO","FLG_STAMPATO","FLG_A_B_UFFICIO","ORIGINE","COD_COMP","COD_PROVIDER","COD_NUC","PRG_NUC","INTEST_DEC_1","INTEST_DEC_2","NOTA_1","NOTA_2","NOTA_3","COD_STR"
"B","1","1","2022-11-14 00:00:00.0","80",,,"S","N","P","0001",,"000001","1",,,,,,
"B","49385","49385","2024-10-23 00:00:00.0","150",,,"S","S","P","0001",,"019900","1",,,"2024","00059861",,
"B","49386","49386","2024-10-23 00:00:00.0","150",,,"S","S","P","0001",,"019828","1",,,"2024","00059862",,
"B","49387","49387","2024-10-23 00:00:00.0","150",,,"S","S","P","0001",,"019851","1",,,"2024","00059863",,
"B","49388","49388","2024-10-23 00:00:00.0","150",,,"S","S","P","0001",,"019853","1",,,"2024","00059864",,
"B","49389","49389","2024-10-23 00:00:00.0","150",,,"S","S","P","0001",,"019872","1",,,"2024","00059865",,
"B","49390","49390","2024-10-23 00:00:00.0","60",,,"S","S","P","0001",,"019837","1",,,"2024","00059866",,
"B","49391","49391","2024-10-23 00:00:00.0","2000",,,"S","S","P","0001",,"019892","1",,,"2024","00059867",,
"B","49392","49392","2024-10-23 00:00:00.0","1198.5",,,"S","S","P","0001",,"019848","1",,,"2024","00059868",,
"B","49394","49394","2024-10-23 00:00:00.0","1893.75",,,"S","S","P","0001",,"019819","1",,,"2024","00059870",,
"B","49395","49395","2024-10-23 00:00:00.0","210",,,"S","S","P","0001",,"019636","1",,,"2024","00059871",,
"B","49396","49396","2024-10-23 00:00:00.0","1490.73",,,"S","S","P","0001",,"019517","1",,,"2024","00059872",,
"B","49397","49397","2024-10-23 00:00:00.0","50",,,"S","S","P","0001",,"019347","1",,,"2024","00059873",,
"B","49406","49406","2024-10-23 00:00:00.0","150",,,"S","S","P","0001",,"019893","1",,,"2024","00059882",,
"B","49407","49407","2024-10-23 00:00:00.0","50",,,"S","S","P","0001",,"019874","1",,,"2024","00059883",,
"B","49408","49408","2024-10-23 00:00:00.0","100",,,"S","S","P","0001",,"019868","1",,,"2024","00059884",,
"B","49409","49409","2024-10-23 00:00:00.0","50",,,"S","S","P","0001",,"019864","1",,,"2024","00059885",,
"B","49410","49410","2024-10-23 00:00:00.0","100",,,"S","S","P","0001",,"019914","1",,,"2024","00059886",,
"B","49411","49411","2024-10-23 00:00:00.0","4500",,,"S","S","P","0001",,"019838","1",,,"2024","00059887",,
"B","49412","49412","2024-10-23 00:00:00.0","250",,,"S","S","P","0001",,"019798","1",,,"2024","00059888",,
"B","49415","49415","2024-10-23 00:00:00.0","150",,,"S","S","P","0001",,"019908","1",,,"2024","00059891",,
"B","49416","49416","2024-10-23 00:00:00.0","150",,,"S","S","P","0001",,"019621","1",,,"2024","00059892",,
"B","49417","49417","2024-10-23 00:00:00.0","1252.5",,,"S","S","P","0001",,"019818","1",,,"2024","00059893",,
"B","48565","48565","2024-12-19 00:00:00.0","130.75",,,"S","S","P","0001",,"009292","1",,,"2024","00079235",,
"B","48580","48580","2024-12-19 00:00:00.0","44.640000000000001",,,"S","S","P","0001",,"009292","1",,,"2024","00079267",,
"B","48889","48889","2024-12-19 00:00:00.0","34",,,"S","S","P","0001",,"009352","2",,,"2024","00080237",,
"B","47666","47666","2024-12-12 00:00:00.0","100",,,"S","S","P","0001",,"009354","2",,,"2024","00077807",,
"B","49282","49282","2024-10-23 00:00:00.0","50",,,"S","S","P","0001",,"019347","1",,,"2024","00059757",,
"B","49283","49283","2024-10-23 00:00:00.0","50",,,"S","S","P","0001",,"019347","1",,,"2024","00059758",,
"B","49284","49284","2024-10-23 00:00:00.0","60",,,"S","S","P","0001",,"019894","1",,,"2024","00059759",,
"B","49285","49285","2024-10-23 00:00:00.0","60",,,"S","S","P","0001",,"019886","1",,,"2024","00059760",,
"B","49286","49286","2024-10-23 00:00:00.0","100",,,"S","S","P","0001",,"019843","1",,,"2024","00059761",,
"B","49287","49287","2024-10-23 00:00:00.0","950",,,"S","S","P","0001",,"015082","1",,,"2024","00059762",,
"B","49288","49288","2024-10-23 00:00:00.0","1000",,,"S","S","P","0001",,"019832","1",,,"2024","00059763",,
"B","49289","49289","2024-10-23 00:00:00.0","150",,,"S","S","P","0001",,"019884","1",,,"2024","00059764",,
"B","49290","49290","2024-10-23 00:00:00.0","150",,,"S","S","P","0001",,"019854","1",,,"2024","00059765",,
"B","49291","49291","2024-10-23 00:00:00.0","150",,,"S","S","P","0001",,"019811","1",,,"2024","00059766",,
"B","49292","49292","2024-10-23 00:00:00.0","120",,,"S","S","P","0001",,"019856","1",,,"2024","00059767",,
"B","49293","49293","2024-10-23 00:00:00.0","480",,,"S","S","P","0001",,"019817","1",,,"2024","00059768",,
"B","49294","49294","2024-10-23 00:00:00.0","170",,,"S","S","P","0001",,"019845","1",,,"2024","00059769",,
"B","49295","49295","2024-10-23 00:00:00.0","350",,,"S","S","P","0001",,"015128","1",,,"2024","00059770",,
"B","49296","49296","2024-10-23 00:00:00.0","1613.85",,,"S","S","P","0001",,"019823","1",,,"2024","00059771",,
"B","49297","49297","2024-10-23 00:00:00.0","130",,,"S","S","P","0001",,"014545","1",,,"2024","00059772",,
"B","49298","49298","2024-10-23 00:00:00.0","2000",,,"S","S","P","0001",,"019805","1",,,"2024","00059773",,
"B","49299","49299","2024-10-23 00:00:00.0","50",,,"S","S","P","0001",,"019911","1",,,"2024","00059774",,
"B","49300","49300","2024-10-23 00:00:00.0","50",,,"S","S","P","0001",,"019347","1",,,"2024","00059775",,
"B","49301","49301","2024-10-23 00:00:00.0","60",,,"S","S","P","0001",,"019806","1",,,"2024","00059776",,
"B","49302","49302","2024-10-23 00:00:00.0","60",,,"S","S","P","0001",,"019881","1",,,"2024","00059777",,
"B","49303","49303","2024-10-23 00:00:00.0","60",,,"S","S","P","0001",,"015074","1",,,"2024","00059778",,
"B","49304","49304","2024-10-23 00:00:00.0","60",,,"S","S","P","0001",,"019813","1",,,"2024","00059779",,
"B","49305","49305","2024-10-23 00:00:00.0","50",,,"S","S","P","0001",,"019836","1",,,"2024","00059780",,
"B","49306","49306","2024-10-23 00:00:00.0","50",,,"S","S","P","0001",,"014802","1",,,"2024","00059781",,
"B","49307","49307","2024-10-23 00:00:00.0","50",,,"S","S","P","0001",,"019531","1",,,"2024","00059782",,
"B","49308","49308","2024-10-23 00:00:00.0","50",,,"S","S","P","0001",,"019864","1",,,"2024","00059783",,
"B","49309","49309","2024-10-23 00:00:00.0","150",,,"S","S","P","0001",,"019846","1",,,"2024","00059784",,
"B","49310","49310","2024-10-23 00:00:00.0","300",,,"S","S","P","0001",,"019885","1",,,"2024","00059785",,
"B","49311","49311","2024-10-23 00:00:00.0","50",,,"S","S","P","0001",,"019817","1",,,"2024","00059786",,
"B","49312","49312","2024-10-23 00:00:00.0","150",,,"S","S","P","0001",,"019895","1",,,"2024","00059787",,
"B","49313","49313","2024-10-23 00:00:00.0","150",,,"S","S","P","0001",,"019237","1",,,"2024","00059788",,
"B","49314","49314","2024-10-23 00:00:00.0","120",,,"S","S","P","0001",,"019666","1",,,"2024","00059789",,
"B","49315","49315","2024-10-23 00:00:00.0","105",,,"S","S","P","0001",,"019800","1",,,"2024","00059790",,
"B","49316","49316","2024-10-23 00:00:00.0","152.4",,,"S","S","P","0001",,"019822","1",,,"2024","00059791",,
"B","49317","49317","2024-10-23 00:00:00.0","200",,,"S","S","P","0001",,"014884","1",,,"2024","00059792",,
"B","49318","49318","2024-10-23 00:00:00.0","525",,,"S","S","P","0001",,"014307","1",,,"2024","00059793",,
"B","49319","49319","2024-10-23 00:00:00.0","50",,,"S","S","P","0001",,"019899","1",,,"2024","00059794",,
"B","49320","49320","2024-10-23 00:00:00.0","50",,,"S","S","P","0001",,"019347","1",,,"2024","00059795",,
"B","49321","49321","2024-10-23 00:00:00.0","50",,,"S","S","P","0001",,"019912","1",,,"2024","00059796",,
"B","49322","49322","2024-10-23 00:00:00.0","250",,,"S","S","P","0001",,"019246","1",,,"2024","00059797",,
"B","49323","49323","2024-10-23 00:00:00.0","60",,,"S","S","P","0001",,"019861","1",,,"2024","00059798",,
"B","49324","49324","2024-10-23 00:00:00.0","60",,,"S","S","P","0001",,"019816","1",,,"2024","00059799",,
"B","49325","49325","2024-10-23 00:00:00.0","60",,,"S","S","P","0001",,"019895","1",,,"2024","00059800",,
"B","49326","49326","2024-10-23 00:00:00.0","60",,,"S","S","P","0001",,"019834","1",,,"2024","00059801",,
"B","49327","49327","2024-10-23 00:00:00.0","100",,,"S","S","P","0001",,"019901","1",,,"2024","00059802",,
"B","49328","49328","2024-10-23 00:00:00.0","100",,,"S","S","P","0001",,"019830","1",,,"2024","00059803",,
"B","49329","49329","2024-10-23 00:00:00.0","450",,,"S","S","P","0001",,"019866","1",,,"2024","00059804",,
"B","49330","49330","2024-10-23 00:00:00.0","150",,,"S","S","P","0001",,"019842","1",,,"2024","00059805",,
"B","49331","49331","2024-10-23 00:00:00.0","3300",,,"S","S","P","0001",,"019880","1",,,"2024","00059806",,
"B","49332","49332","2024-10-23 00:00:00.0","100",,,"S","S","P","0001",,"019814","1",,,"2024","00059807",,
"B","49333","49333","2024-10-23 00:00:00.0","150",,,"S","S","P","0001",,"019910","1",,,"2024","00059808",,
"B","49334","49334","2024-10-23 00:00:00.0","150",,,"S","S","P","0001",,"014334","1",,,"2024","00059809",,
"B","49335","49335","2024-10-23 00:00:00.0","50",,,"S","S","P","0001",,"019350","1",,,"2024","00059810",,
"B","49336","49336","2024-10-23 00:00:00.0","1515",,,"S","S","P","0001",,"019876","1",,,"2024","00059811",,
"B","49337","49337","2024-10-23 00:00:00.0","2000",,,"S","S","P","0001",,"019913","1",,,"2024","00059812",,
"B","49338","49338","2024-10-23 00:00:00.0","1761",,,"S","S","P","0001",,"019844","1",,,"2024","00059813",,
"B","49339","49339","2024-10-23 00:00:00.0","50",,,"S","S","P","0001",,"019905","1",,,"2024","00059814",,
"B","49340","49340","2024-10-23 00:00:00.0","60",,,"S","S","P","0001",,"019863","1",,,"2024","00059815",,
"B","49341","49341","2024-10-23 00:00:00.0","50",,,"S","S","P","0001",,"019835","1",,,"2024","00059816",,
"B","49342","49342","2024-10-23 00:00:00.0","60",,,"S","S","P","0001",,"019852","1",,,"2024","00059817",,
"B","49343","49343","2024-10-23 00:00:00.0","60",,,"S","S","P","0001",,"019883","1",,,"2024","00059819",,
"B","49344","49344","2024-10-23 00:00:00.0","60",,,"S","S","P","0001",,"019859","1",,,"2024","00059820",,
"B","49345","49345","2024-10-23 00:00:00.0","80",,,"S","S","P","0001",,"019820","1",,,"2024","00059821",,
"B","49346","49346","2024-10-23 00:00:00.0","150",,,"S","S","P","0001",,"015090","1",,,"2024","00059822",,
"B","49347","49347","2024-10-23 00:00:00.0","150",,,"S","S","P","0001",,"019877","1",,,"2024","00059823",,
"B","49348","49348","2024-10-23 00:00:00.0","100",,,"S","S","P","0001",,"019858","1",,,"2024","00059824",,
"B","49349","49349","2024-10-23 00:00:00.0","150",,,"S","S","P","0001",,"019810","1",,,"2024","00059825",,
"B","49350","49350","2024-10-23 00:00:00.0","150",,,"S","S","P","0001",,"019807","1",,,"2024","00059826",,
