"COD_VOC","FLG_IN_USO","ID"
"00PF","S","915"
"00PG","S","916"
"00PH","S","917"
"00PI","S","918"
"00PJ","S","919"
"00PK","S","920"
"00PL","S","921"
"00PM","S","922"
"00PN","S","923"
"00PO","S","924"
"00PP","S","925"
"00PQ","S","926"
"00PR","S","927"
"00PS","S","928"
"00PT","S","929"
"00PU","S","930"
"00PV","S","931"
"00PW","S","932"
"00PX","S","933"
"00PY","S","934"
"00PZ","S","935"
"00Q0","S","936"
"00Q1","S","937"
"00Q2","S","938"
"00Q3","S","939"
"00Q4","S","940"
"00Q5","S","941"
"00Q6","S","942"
"00Q7","S","943"
"00Q8","S","944"
"00Q9","S","945"
"00QA","S","946"
"00QB","S","947"
"00QC","S","948"
"00QD","S","949"
"00QE","S","950"
"00QF","S","951"
"00QG","S","952"
"00QH","S","953"
"00QI","S","954"
"00QJ","S","955"
"00QK","S","956"
"00QL","S","957"
"00QM","S","958"
"00QN","S","959"
"00QO","S","960"
"00QP","S","961"
"00QQ","S","962"
"00QR","S","963"
"00QS","S","964"
"00QT","S","965"
"00QU","S","966"
"00QV","S","967"
"00QW","S","968"
"00QX","S","969"
"00QY","S","970"
"00QZ","S","971"
"00R0","S","972"
"00R1","S","973"
"00R2","S","974"
"00R3","S","975"
"00R4","S","976"
"00R5","S","977"
"00R6","S","978"
"00R7","S","979"
"00R8","S","980"
"00R9","S","981"
"00RA","S","982"
"00RB","S","983"
"00RC","S","984"
"00RD","S","985"
"00RE","S","986"
"00RF","S","987"
"00RG","S","988"
"00RH","S","989"
"00RI","S","990"
"00RJ","S","991"
"00RK","S","992"
"00RL","S","993"
"00RM","S","994"
"00RN","S","995"
"00RO","S","996"
"00RP","S","997"
"00RQ","S","998"
"00RR","S","999"
"00RS","S","1000"
"00RT","S","1001"
"00RU","S","1002"
"00RV","S","1003"
"00RW","S","1004"
"00RX","S","1005"
"00RY","S","1006"
"00RZ","S","1007"
"00S0","S","1008"
"00S1","S","1009"
"00S2","S","1010"
"00S3","S","1011"
"00S4","S","1012"
"00S5","S","1013"
"00S6","S","1014"
"00S7","S","1015"
"00S8","S","1016"
"00S9","S","1017"
"00SA","S","1018"
"00SB","S","1019"
"00SC","S","1020"
"00SD","S","1021"
"00SE","S","1022"
"00SF","S","1023"
"00SG","S","1024"
"00SH","S","1025"
"00SI","S","1026"
"00SJ","S","1027"
"00SK","S","1028"
"00SL","S","1029"
"00SM","S","1030"
"00SN","S","1031"
"00SO","S","1032"
"00SP","S","1033"
"00SQ","S","1034"
"00SR","S","1035"
"00SS","S","1036"
"00ST","S","1037"
"00SU","S","1038"
"00SV","S","1039"
"00SW","S","1040"
"00SX","S","1041"
"00SY","S","1042"
"00SZ","S","1043"
"00T0","S","1044"
"00T1","S","1045"
"00T2","S","1046"
"00T3","S","1047"
"00T4","S","1048"
"00T5","S","1049"
"00T6","S","1050"
"00T7","S","1051"
"00T8","S","1052"
"00T9","S","1053"
"00TA","S","1054"
"00TB","S","1055"
"00TC","S","1056"
"00TD","S","1057"
"00TE","S","1058"
"00TF","S","1059"
"00TG","S","1060"
"00TH","S","1061"
"00TI","S","1062"
"00TJ","S","1063"
"00TK","S","1064"
"00TL","S","1065"
"00TM","S","1066"
"00TN","S","1067"
"00TO","S","1068"
"00TP","S","1069"
"00TQ","S","1070"
"00TR","S","1071"
"00TS","S","1072"
"00TT","S","1073"
"00TU","S","1074"
"00TV","S","1075"
"00TW","S","1076"
"00TX","S","1077"
"00TY","S","1078"
"00TZ","S","1079"
"00U0","S","1080"
"00U1","S","1081"
"00U2","S","1082"
"00U3","S","1083"
"00U4","S","1084"
"00U5","S","1085"
"00U6","S","1086"
"00U7","S","1087"
"00U8","S","1088"
"00U9","S","1089"
"00UA","S","1090"
"00UB","S","1091"
"00UC","S","1092"
"00UD","S","1093"
"00UE","S","1094"
"00UF","S","1095"
"00UG","S","1096"
"00UH","S","1097"
"00UI","S","1098"
"00UJ","S","1099"
"00UK","S","1100"
"00UL","S","1101"
"00UM","S","1102"
"00UN","S","1103"
"00UO","S","1104"
"00UP","S","1105"
"00UQ","S","1106"
"00UR","S","1107"
"00US","S","1108"
"00UT","S","1109"
"00UU","S","1110"
"00UV","S","1111"
"00UW","S","1112"
"00UX","S","1113"
"00UY","S","1114"
"00UZ","S","1115"
"00V0","S","1116"
"00V1","S","1117"
"00V2","S","1118"
"00V3","S","1119"
"00V4","S","1120"
"00V5","S","1121"
"00V6","S","1122"
"00V7","S","1123"
"00V8","S","1124"
"00V9","S","1125"
"00VA","S","1126"
"00VB","S","1127"
"00VC","S","1128"
"00VD","S","1129"
"00VE","S","1130"
"00VF","S","1131"
"00VG","S","1132"
"00VH","S","1133"
"00VI","S","1134"
"00VJ","S","1135"
"00VK","S","1136"
"00VL","S","1137"
"00VM","S","1138"
"00VN","S","1139"
"00VO","S","1140"
"00VP","S","1141"
"00VQ","S","1142"
"00VR","S","1143"
"00VS","S","1144"
"00VT","S","1145"
"00VU","S","1146"
"00VV","S","1147"
"00VW","S","1148"
"00VX","S","1149"
"00VY","S","1150"
"00VZ","S","1151"
"00W0","S","1152"
"00W1","S","1153"
"00W2","S","1154"
"00W3","S","1155"
"00W4","S","1156"
"00W5","S","1157"
"00W6","S","1158"
"00W7","S","1159"
"00W8","S","1160"
"00W9","S","1161"
"00WA","S","1162"
"00WB","S","1163"
"00WC","S","1164"
"00WD","S","1165"
"00WE","S","1166"
"00WF","S","1167"
"00WG","S","1168"
"00WH","S","1169"
"00WI","S","1170"
"00WJ","S","1171"
"00WK","S","1172"
"00WL","S","1173"
"00WM","S","1174"
"00WN","S","1175"
"00WO","S","1176"
"00WP","S","1177"
"00WQ","S","1178"
"00WR","S","1179"
"00WS","S","1180"
"00WT","S","1181"
"00WU","S","1182"
"00WV","S","1183"
"00WW","S","1184"
"00WX","S","1185"
"00WY","S","1186"
"00WZ","S","1187"
"00X0","S","1188"
"00X1","S","1189"
"00X2","S","1190"
"00X3","S","1191"
"00X4","S","1192"
"00X5","S","1193"
"00X6","S","1194"
"00X7","S","1195"
"00X8","S","1196"
"00X9","S","1197"
"00XA","S","1198"
"00XB","S","1199"
"00XC","S","1200"
"00XD","S","1201"
"00XE","S","1202"
"00XF","S","1203"
"00XG","S","1204"
"00XH","S","1205"
"00XI","S","1206"
"00XJ","S","1207"
"00XK","S","1208"
"00XL","S","1209"
"00XM","S","1210"
"00XN","S","1211"
"00XO","S","1212"
"00XP","S","1213"
"00XQ","S","1214"
"00XR","S","1215"
"00XS","S","1216"
"00XT","S","1217"
"00XU","S","1218"
"00XV","S","1219"
"00XW","S","1220"
"00XX","S","1221"
"00XY","S","1222"
"00XZ","S","1223"
"00Y0","S","1224"
"00Y1","S","1225"
"00Y2","S","1226"
"00Y3","S","1227"
"00Y4","S","1228"
"00Y5","S","1229"
"00Y6","S","1230"
"00Y7","S","1231"
"00Y8","S","1232"
"00Y9","S","1233"
"00YA","S","1234"
"00YB","S","1235"
"00YC","S","1236"
"00YD","S","1237"
"00YE","S","1238"
"00YF","S","1239"
"00YG","S","1240"
"00YH","S","1241"
"00YI","S","1242"
"00YJ","S","1243"
"00YK","S","1244"
"00YL","S","1245"
"00YM","S","1246"
"00YN","S","1247"
"00YO","S","1248"
"00YP","S","1249"
"00YQ","S","1250"
"00YR","S","1251"
"00YS","S","1252"
"00YT","S","1253"
"00YU","S","1254"
"00YV","S","1255"
"00YW","S","1256"
"00YX","S","1257"
"00YY","S","1258"
"00YZ","S","1259"
"00Z0","S","1260"
"00Z1","S","1261"
"00Z2","S","1262"
"00Z3","S","1263"
"00Z4","S","1264"
"00Z5","S","1265"
"00Z6","S","1266"
"00Z7","S","1267"
"00Z8","S","1268"
"00Z9","S","1269"
"00ZA","S","1270"
"00ZB","S","1271"
"00ZC","S","1272"
"00ZD","S","1273"
"00ZE","S","1274"
"00ZF","S","1275"
"00ZG","S","1276"
"00ZH","S","1277"
"00ZI","S","1278"
"00ZJ","S","1279"
"00ZK","S","1280"
"00ZL","S","1281"
"00ZM","S","1282"
"00ZN","S","1283"
"00ZO","S","1284"
"00ZP","S","1285"
"00ZQ","S","1286"
"00ZR","S","1287"
"00ZS","S","1288"
"00ZT","S","1289"
"00ZU","S","1290"
"00ZV","S","1291"
"00ZW","S","1292"
"00ZX","S","1293"
"00ZY","S","1294"
"00ZZ","S","1295"
"0100","S","1296"
"0101","S","1297"
"0102","S","1298"
"0103","S","1299"
"0104","S","1300"
"0105","S","1301"
"0106","S","1302"
"0107","S","1303"
"0108","S","1304"
"0109","S","1305"
"010A","S","1306"
"010B","S","1307"
"010C","S","1308"
"010D","S","1309"
"010E","S","1310"
"010F","S","1311"
"010G","S","1312"
"010H","S","1313"
"010I","S","1314"
"010J","S","1315"
"010K","S","1316"
"010L","S","1317"
"010M","S","1318"
"010N","S","1319"
"010O","S","1320"
"010P","S","1321"
"010Q","S","1322"
"010R","S","1323"
"010S","S","1324"
"010T","S","1325"
"010U","S","1326"
"010V","S","1327"
"010W","S","1328"
"010X","S","1329"
"010Y","S","1330"
"010Z","S","1331"
"0110","S","1332"
"0111","S","1333"
"0112","S","1334"
"0113","S","1335"
"0114","S","1336"
"0115","S","1337"
"0116","S","1338"
"0117","S","1339"
"0118","S","1340"
"0119","S","1341"
"011A","S","1342"
"011B","S","1343"
"011C","S","1344"
"011D","S","1345"
"011E","S","1346"
"011F","S","1347"
"011G","S","1348"
"011H","S","1349"
"011I","S","1350"
"011J","S","1351"
"011K","S","1352"
"011L","S","1353"
"011M","S","1354"
"011N","S","1355"
"011O","S","1356"
"011P","S","1357"
"011Q","S","1358"
"011R","S","1359"
"011S","S","1360"
"011T","S","1361"
"011U","S","1362"
"011V","S","1363"
"011W","S","1364"
"011X","S","1365"
"011Y","S","1366"
"011Z","S","1367"
"0120","S","1368"
"0121","S","1369"
"0122","S","1370"
"0123","S","1371"
"0124","S","1372"
"0125","S","1373"
"0126","S","1374"
"0127","S","1375"
"0128","S","1376"
"0129","S","1377"
"012A","S","1378"
"012B","S","1379"
"012C","S","1380"
"012D","S","1381"
"012E","S","1382"
"012F","S","1383"
"012G","S","1384"
"012H","S","1385"
"012I","S","1386"
"012J","S","1387"
"012K","S","1388"
"012L","S","1389"
"012M","S","1390"
"012N","S","1391"
"012O","S","1392"
"012P","S","1393"
"012Q","S","1394"
"012R","S","1395"
"012S","S","1396"
"012T","S","1397"
"012U","S","1398"
"012V","S","1399"
"012W","S","1400"
"012X","S","1401"
"012Y","S","1402"
"012Z","S","1403"
"0130","S","1404"
"0131","S","1405"
"0132","S","1406"
"0133","S","1407"
"0134","S","1408"
"0135","S","1409"
"0136","S","1410"
"0137","S","1411"
"0138","S","1412"
"0139","S","1413"
"013A","S","1414"
"013B","S","1415"
"013C","S","1416"
"013D","S","1417"
"013E","S","1418"
"013F","S","1419"
"013G","S","1420"
"013H","S","1421"
"013I","S","1422"
"013J","S","1423"
"013K","S","1424"
"013L","S","1425"
"013M","S","1426"
"013N","S","1427"
"013O","S","1428"
"013P","S","1429"
"013Q","S","1430"
"013R","S","1431"
"013S","S","1432"
"013T","S","1433"
"013U","S","1434"
"013V","S","1435"
"013W","S","1436"
"013X","S","1437"
"013Y","S","1438"
"013Z","S","1439"
"0140","S","1440"
"0141","S","1441"
"0142","S","1442"
"0143","S","1443"
"0144","S","1444"
"0145","S","1445"
"0146","S","1446"
"0147","S","1447"
"0148","S","1448"
"0149","S","1449"
"014A","S","1450"
"014B","S","1451"
"014C","S","1452"
"014D","S","1453"
"014E","S","1454"
"014F","S","1455"
"014G","S","1456"
"014H","S","1457"
"014I","S","1458"
"014J","S","1459"
"014K","S","1460"
"014L","S","1461"
"014M","S","1462"
"014N","S","1463"
"014O","S","1464"
"014P","S","1465"
"014Q","S","1466"
"014R","S","1467"
"014S","S","1468"
"014T","S","1469"
"014U","S","1470"
"014V","S","1471"
"014W","S","1472"
"014X","S","1473"
"014Y","S","1474"
"014Z","S","1475"
"0150","S","1476"
"0151","S","1477"
"0152","S","1478"
"0153","S","1479"
"0154","S","1480"
"0155","S","1481"
"0156","S","1482"
"0157","S","1483"
"0158","S","1484"
"0159","S","1485"
"015A","S","1486"
"015B","S","1487"
"015C","S","1488"
"015D","S","1489"
"015E","S","1490"
"015F","S","1491"
"015G","S","1492"
"015H","S","1493"
"015I","S","1494"
"015J","S","1495"
"015K","S","1496"
"015L","S","1497"
"015M","S","1498"
"015N","S","1499"
"015O","S","1500"
"015P","S","1501"
"015Q","S","1502"
"015R","S","1503"
"015S","S","1504"
"015T","S","1505"
"015U","S","1506"
"015V","S","1507"
"015W","S","1508"
"015X","S","1509"
"015Y","S","1510"
"015Z","S","1511"
"0160","S","1512"
"0161","S","1513"
"0162","S","1514"
"0163","S","1515"
"0164","S","1516"
"0165","S","1517"
"0166","S","1518"
"0167","S","1519"
"0168","S","1520"
"0169","S","1521"
"016A","S","1522"
"016B","S","1523"
"016C","S","1524"
"016D","S","1525"
"016E","S","1526"
"016F","S","1527"
"016G","S","1528"
"016H","S","1529"
"016I","S","1530"
"016J","S","1531"
"016K","S","1532"
"016L","S","1533"
"016M","S","1534"
"016N","S","1535"
"016O","S","1536"
"016P","S","1537"
"016Q","S","1538"
"016R","S","1539"
"016S","S","1540"
"016T","S","1541"
"016U","S","1542"
"016V","S","1543"
"016W","S","1544"
"016X","S","1545"
"016Y","S","1546"
"016Z","S","1547"
"0170","S","1548"
"0171","S","1549"
"0172","S","1550"
"0173","S","1551"
"0174","S","1552"
"0175","S","1553"
"0176","S","1554"
"0177","S","1555"
"0178","S","1556"
"0179","S","1557"
"017A","S","1558"
"017B","S","1559"
"017C","S","1560"
"017D","S","1561"
"017E","S","1562"
"017F","S","1563"
"017G","S","1564"
