"IDBRANCA","COD_TIPO_STR"
"1","02"
"1","03"
"1","04"
"1","05"
"1","06"
"1","07"
"1","09"
"1","12"
"1","13"
"1","41"
"1","44"
"2","02"
"2","07"
"2","12"
"2","44"
"3","02"
"3","12"
"3","44"
"4","02"
"4","03"
"4","06"
"4","07"
"4","12"
"4","44"
"5","02"
"5","12"
"6","02"
"6","07"
"6","12"
"8","02"
"8","07"
"8","12"
"9","02"
"9","03"
"9","06"
"9","07"
"9","12"
"9","44"
"10","02"
"10","12"
"18","02"
"18","03"
"18","04"
"18","06"
"18","12"
"18","44"
"20","02"
"20","03"
"20","06"
"20","12"
"20","44"
"21","02"
"21","03"
"21","06"
"21","07"
"21","12"
"22","02"
"22","06"
"22","07"
"22","12"
"23","02"
"23","06"
"23","07"
"23","12"
"24","02"
"24","06"
"24","07"
"24","12"
"25","02"
"25","03"
"25","06"
"25","07"
"25","12"
"26","02"
"26","03"
"26","06"
"26","07"
"26","12"
"27","02"
"27","03"
"27","06"
"27","07"
"27","12"
"28","02"
"28","03"
"28","06"
"28","07"
"28","12"
"28","44"
"29","02"
"29","03"
"29","06"
"29","07"
"29","12"
"29","44"
"30","02"
"30","03"
"30","06"
"30","07"
"30","12"
"30","44"
"31","02"
"31","03"
"31","06"
"31","07"
"31","12"
"31","44"
"32","02"
"32","06"
"32","07"
"32","12"
"33","02"
"33","06"
"33","07"
"33","12"
"34","02"
"34","06"
"34","07"
"34","12"
"35","02"
"35","06"
"35","07"
"35","12"
"36","02"
"36","06"
"36","07"
"36","12"
"37","02"
"37","06"
"37","07"
"37","12"
"38","02"
"38","06"
"38","07"
"38","12"
"39","02"
"39","06"
"39","07"
"39","12"
"40","02"
"40","06"
"40","07"
"40","12"
"41","02"
"41","06"
"41","07"
"41","12"
"42","02"
"42","06"
"42","07"
"42","12"
"43","02"
"43","06"
"43","07"
"43","12"
"44","02"
"44","03"
"44","06"
"44","07"
"44","12"
"45","02"
"45","06"
"45","07"
"45","12"
"46","02"
"46","06"
"46","07"
"46","12"
"47","02"
"47","06"
"47","07"
"47","12"
"48","02"
"48","06"
"48","07"
"48","12"
"49","02"
"49","03"
"49","06"
"49","07"
"49","12"
"50","02"
"50","06"
"50","07"
"50","12"
"51","02"
"51","06"
"51","07"
"51","12"
"52","02"
"52","06"
"52","07"
"52","12"
"53","02"
"53","03"
"53","06"
"53","07"
"53","12"
"54","02"
"54","03"
"54","06"
"54","07"
"54","12"
"55","02"
"55","03"
"55","06"
"55","07"
"55","12"
"56","02"
"56","03"
"56","06"
"56","07"
"56","12"
"57","02"
"57","03"
"57","06"
"57","07"
"57","12"
"58","02"
"58","03"
"58","06"
"58","07"
"58","12"
"59","02"
"59","03"
"59","06"
"59","07"
"59","12"
"60","02"
"60","03"
"60","06"
"60","07"
"60","12"
"61","02"
"61","03"
"61","06"
"61","07"
"61","12"
"62","02"
"62","03"
"62","06"
"62","07"
"62","12"
"63","02"
"63","03"
"63","06"
"63","07"
"63","12"
"64","02"
"64","03"
"64","06"
"64","07"
"64","12"
"65","02"
"65","03"
"65","06"
"65","07"
"65","12"
"66","02"
"66","03"
"66","06"
"66","07"
"66","12"
"67","02"
"67","03"
"67","06"
"67","07"
"67","12"
"68","02"
"68","03"
"68","06"
"68","07"
"68","12"
"69","02"
"69","06"
"69","07"
"69","12"
"70","02"
"70","06"
"70","07"
"70","12"
"71","02"
"71","06"
"71","07"
"71","12"
"72","02"
"72","06"
"72","07"
"72","12"
"73","02"
"73","06"
"73","07"
"73","12"
"74","02"
"74","06"
"74","07"
"74","12"
"75","02"
"75","03"
"75","06"
