"COD_CAUS","DES_CAUS","DES_WEB","STATO"
"01","RICOVERO CON INTERVENTO","RICOVERO CON INTERVENTO","S"
"02","RICOVERO PER GRANDE INTERVENTO","RICOVERO PER GRANDE INTERVENTO","S"
"03","INTERVENTO AMBULATORIALE","INTERVENTO AMBULATORIALE","S"
"04","RICOVERO IN OSPEDALE A CARICO DEL S.S.N.","RICOVERO IN OSPEDALE A CARICO DEL S.S.N.","S"
"05","RICOVERO SENZA INTERVENTO","RICOVERO SENZA INTERVENTO","S"
"06","DAY HOSPITAL CON INTERVENTO","DAY HOSPITAL CON INTERVENTO","S"
"07","DAY HOSPITAL SENZA INTERVENTO","DAY HOSPITAL SENZA INTERVENTO","S"
"08","PARTO CESAREO","PARTO CESAREO","S"
"09","PARTO NATURALE","PARTO NATURALE","S"
"10","ABORTO TERAPEUTICO","ABORTO TERAPEUTICO","S"
"11","TRAPIANTO DI ORGANI","TRAPIANTO DI ORGANI","S"
"12","RICOVERI ONCOLOGICI","RICOVERI ONCOLOGICI","S"
"13","CURE ONCOLOGICHE","CURE ONCOLOGICHE","S"
"14","ACCERTAMENTI DI ALTA DIAGNOSTICA","ACCERTAMENTI DI ALTA DIAGNOSTICA","S"
"15","PRESTAZIONI SPECIALISTICHE ","VISITE,ESAMI ED ACCERTAMENTI","S"
"16","TERAPIE","TERAPIE","S"
"17","MEDICINALI","MEDICINALI","S"
"18","PROTESI ORTOPEDICHE ED ACUSTISCHE - PRESIDI","PROTESI ORTOPEDICHE ED ACUSTISCHE - PRESIDI","S"
"19","CURE E PROTESI DENTARIE","CURE E PROTESI DENTARIE","S"
"20","CURE DENTARIE DA INFORTUNIO","CURE DENTARIE DA INFORTUNIO","S"
"21","LENTI ED OCCHIALI","LENTI ED OCCHIALI","S"
"22","MEDICINA PREVENTIVA - CHECK UP","MEDICINA PREVENTIVA - CHECK UP","S"
"23","ALTRO","ALTRO","S"
"24","VIDEOCONSULTO","VIDEOCONSULTO","S"
"25","PRESTAZIONI PER IL NASCITURO","PRESTAZIONI PER IL NASCITURO","S"
"26","PRESTAZIONI PER IL NEONATO","PRESTAZIONI PER IL NEONATO","S"
"30","RICOVERO IN FORMA MISTA","RICOVERO IN FORMA MISTA","S"
"31","SPESE EVENTO UNICO ( EXTRAOSPEDALIERE E AMBULATORIALI)","SPESE EVENTO UNICO ( EXTRAOSPEDALIERE E AMBULATORIALI)","S"
"35","TICKET","TICKET","S"
"27","SPESE PRE-POST RICOVERO","SPESE PRE-POST RICOVERO","S"
"28","CURE DENTARIE A SEGUITO DI MALATTIA","CURE DENTARIE A SEGUITO DI MALATTIA","S"
"32","CHECK UP - DONNA","CHECK UP - DONNA","S"
"33","CHECK UP - UOMO","CHECK UP - UOMO","S"
"34","CHECK UP - CARDIOVASCOLARE UOMO DONNA","CHECK UP - CARDIOVASCOLARE UOMO DONNA","S"
"36","MEDICINALI - NO PRESCRIZIONE","MEDICINALI - NO PRESCRIZIONE","S"
"37","DISFORIA DI GENERE","DISFORIA DI GENERE","S"
"38","PROCREAZIONE MEDICALMENTE ASSISTITA","PROCREAZIONE MEDICALMENTE ASSISTITA","S"
"41","INTERVENTI CHIRURGICI PER VIZI DI RIFRAZIONE","INTERVENTI CHIRURGICI PER VIZI DI RIFRAZIONE","S"
"48","PARTO CESAREO SUCCESSIVO AL PRIMO","PARTO CESAREO SUCCESSIVO AL PRIMO","S"
"50","TRATTAMENTI FISIOTERAPICI E RIEDUCATIVI","TRATTAMENTI FISIOTERAPICI","S"
"42","RICOVERO PER GRAVI EVENTI MORBOSI","RICOVERO PER GRAVI EVENTI MORBOSI","S"
"43","INDENNITA’ SOSTITUTIVA","INDENNITA’ SOSTITUTIVA","S"
"44","INDENNITA’ DA CONVALESCENZA A SEGUITO DI GI E GEM","INDENNITA’ DA CONVALESCENZA A SEGUITO DI GI E GEM","s"
"45","ASSISTENZA MEDICA E/O INFERMIERISTICA PER PATOLOGIE INFAUSTE 45","ASSISTENZA MEDICA E/O INFERMIERISTICA PER PATOLOGIE INFAUSTE 45","S"
"46","CURE FISIOTERAPICHE A SEGUITO DI INFORTUNIO","CURE FISIOTERAPICHE A SEGUITO DI INFORTUNIO","S"
"47","GARANZIA PER NON AUTOSUFFICIENZA PERMANENTE – LTC","GARANZIA PER NON AUTOSUFFICIENZA PERMANENTE – LTC","S"
"49","CURE TERMALI","CURE TERMALI","S"
"29","PACCHETTO MATERNITA","PACCHETTO MATERNITA","S"
"39","CHIRURGIA REFRATTIVA OCCHIO DESTRO","CHIRURGIA REFRATTIVA OCCHIO DESTRO","S"
"40","CHIRURGIA REFRATTIVA OCCHIO SINISTRO","CHIRURGIA REFRATTIVA OCCHIO SINISTRO","S"
