"IDCLIENTE","COD_ACC","COD_NUC","PRG_NUC","IMP_QUOTA_ASSOCIATIVA"
"2","0166","020118","1","0"
"2","0162","002234","1","10"
"2","0166","020038","1","0"
"2","0166","020050","1","0"
"2","0166","020061","1","0"
"2","0166","020079","1","0"
"2","0166","020131","1","0"
"2","0166","020144","1","0"
"2","0166","020150","1","0"
"2","0166","020177","1","0"
"2","0166","020197","1","0"
"2","0166","020201","1","0"
"2","0166","020203","1","0"
"2","0166","020074","1","0"
"2","0166","020175","1","0"
"2","0166","020107","1","0"
"2","0166","020218","1","0"
