"COD_ACC","PRG_CONV","NUM_POLIZZA","COD_COMP","DES_CONV","PERC_ACCANTONAMENTO","CODICE_POLIZZA_AZIENDA","ACCORDO_NP","PRG_GRUPPO_INVIO","COD_PROVIDER","MAX_GG_PAGAMENTO","FLG_LIQUIDAZIONE_DIRETTA"
"0001","1","0000000000","0003","DIPENDENTI SILVER","0",,"A","12","CONV","60","N"
"0003","1","0000000000","0003","ISCRITTI FONDO MAX=3","0",,"A","12","CONV","0","N"
"0002","2","0000000000","0003","PIANO SANITARIO AGGIUNTIVO","0",,"A","12","CONV","60","N"
"0005","2","501049446","0001","AON SPA QUADRI","0",,"A","1","CONV","30","S"
"0011","1","501049444","0001","MUTUA MED IMPIEGATI","0",,"A","1","CONV","30","N"
"0012","1","501049438","0001","PREVILINE IMPIEGATI","0",,"A","1","CONV","30","N"
"0013","1","732957564","0073","OPZ. 1","0",,"A","4","CONV","30","N"
"0014","1","0000000000","0003","PIANO SANITARIO SILVER","0",,"A","12","CONV","60","N"
"0014","2","00000000001","0002","PIANO SANITARIO AGGIUNTIVO","0",,"A","2","CONV","60","N"
"0013","6","732957562","0073","OPZ. 6","0",,"A","4","CONV","30","N"
"0013","7","732957561","0073","OPZ. 7","0",,"A","4","CONV","30","N"
"0010","1","501049436","0001","GLOBAL SAFE IMPIEGATI","0",,"A","1","CONV","30","N"
"0003","2","0000000000","0003","ISCRITTI FONDO MAX ILLIMITATO","0",,"A","12","CONV","0","N"
"0004","1","0000000000","0003","ISCRITTI FONDO MAX=3","0",,"A","12","CONV","0","N"
"0004","2","0000000000","0003","ISCRITTI FONDO MAX ILLIMITATO","0",,"A","12","CONV","0","N"
"0005","1","501049448","0001","AON SPA IMPIEGATI","0",,"A","1","CONV","30","S"
"0013","2","732957560","0073","OPZ. 2","0",,"A","4","CONV","30","N"
"0013","3","732957563","0073","OPZ. 3","0",,"A","4","CONV","30","N"
"0007","1","501049450","0001","AON HEWITT IMPIEGATI","0",,"A","1","CONV","30","N"
"0007","2","501049452","0001","AON HEWITT QUADRI","0",,"A","1","CONV","30","N"
"0008","2","501049434","0001","AON ITALIA QUADRI","0",,"A","1","CONV","30","N"
"0009","1","501049440","0001","US IMPIEGATI","0",,"A","1","CONV","30","N"
"0009","2","501049442","0001","US QUADRI","0",,"A","1","CONV","30","N"
"0013","4","732957557","0073","OPZ. 4","0",,"A","4","CONV","30","N"
"0013","5","732957558","0073","OPZ. 5","0",,"A","4","CONV","30","N"
"0013","8","730952849","0073","OPZ. 8","0",,"A","4","CONV","30","N"
"0002","1","0000000000","0003","PIANO SANITARIO SILVER","0",,"A","12","CONV","60","N"
"0166","1","506188042","0001","SOCI 0/10 ANNI","0",,"A","1","CONV","30","N"
"0172","1","0000000000","0003","PIANO SANITARIO SILVER","0",,"A","12","CONV","60","N"
"0172","2","0000000000","0003","PIANO SANITARIO AGGIUNTIVO","0",,"A","12","CONV","60","N"
"0176","1","501225933","0001","NEXO AMMINISTRATORI TITOLARE","0",,"A","1","CONV","0","N"
"0179","58","505798988","0001","OPZ AC/4CK BAD FREIGHT SYSTEMS","0",,"A","1","CONV","0","N"
"0179","59","505798993","0001","OPZ AC/4CK BAD EXVI","0",,"A","1","CONV","0","N"
"0217","214","72908465","0001","FT4 LA GHIANDAIA","0",,"A","1","CONV","30","N"
"0217","215","72908332","0001","FT3 D&E","0",,"A","1","CONV","30","N"
"0217","216","72908224","0001","FT3 AUTOMOTIVE PROJECT","0",,"A","1","CONV","30","N"
"0028","1","501258058","0001","SENIOR TITOLARI","0",,"A","1","CONV","30","N"
"0019","75","72908225","0001","FONDO TUTELA 12_002","0",,"A","1","CONV","30","N"
"0019","76","72908315","0001","FONDO TUTELA 12_003","0",,"A","1","CONV","30","N"
"0098","242","501049235","0001","FDO TUTELA 01 BLU ICE SRL","0",,"A","1","CONV","30","N"
"0168","1","506270818","0001","DIRIGENTI NUCLEO 3 PERSONE","0",,"A","1","CONV","0","N"
"0179","1","501671850","0001","OPZ A FIBRO SPA","0",,"A","1","CONV","0","N"
"0179","2","501671843","0001","OPZ B PM&PARTNERS SPA","0",,"A","1","CONV","0","N"
"0179","3","501049079","0001","OPZ C SPEZIA RISORSE SPA","0",,"A","1","CONV","0","N"
"0179","4","501049080","0001","OPZ A INT CHECKPOINT SRL","0",,"A","1","CONV","0","N"
"0179","5","501671445","0001","OPZ C INT DECIPHERA SRL","0",,"A","1","CONV","0","N"
"0179","6","501150937","0001","OPZ D INT INTEGRAL AD","0",,"A","1","CONV","0","N"
"0179","7","501671844","0001","OPZ B INT Q TIT UTOPUS","0",,"A","1","CONV","0","N"
"0179","8","501671844","0001","OPZ B INT Q FAM UTOPUS","0",,"A","1","CONV","0","N"
"0179","9","501671845","0001","OPZ D INT Q TIT INSPEREX","0",,"A","1","CONV","0","N"
"0179","10","501671845","0001","OPZ D INT Q FAM INSPEREX","0",,"A","1","CONV","0","N"
"0179","11","502088942","0001","OPZ A HAMILTON LANE SRL","0",,"A","1","CONV","0","N"
"0179","12","505134332","0001","OPZ A VI-GRADE SRL","0",,"A","1","CONV","0","N"
"0179","13","505134323","0001","OPZ B BLUEBACK GLOBAL","0",,"A","1","CONV","0","N"
"0179","14","501049081","0001","OPZ C CHECKPOINT SRL","0",,"A","1","CONV","0","N"
"0179","15","501049555","0001","OPZ C FIBRO SPA","0",,"A","1","CONV","0","N"
"0179","16","501671934","0001","OPZ C ANGUS CHEMIE GMBH","0",,"A","1","CONV","0","N"
"0179","17","501049327","0001","OPZ A INT AB INITIO","0",,"A","1","CONV","0","N"
"0179","18","501049515","0001","OPZ A INT SGH SRL","0",,"A","1","CONV","0","N"
"0179","19","501049516","0001","OPZ A INT FIBRO SPA","0",,"A","1","CONV","0","N"
"0179","20","502088058","0001","OPZ A INT AB INITIO","0",,"A","1","CONV","0","N"
"0179","21","501049327","0001","OPZ A INT Q TIT AB INITI","0",,"A","1","CONV","0","N"
"0179","22","501049327","0001","OPZ A INT Q FAM AB INITI","0",,"A","1","CONV","0","N"
"0179","23","505798103","0001","OPZ A AB INITIO","0",,"A","1","CONV","0","N"
"0218","18","72908362","0001","MT MEDIUM UNDER 70_ALLODOLI","0",,"A","1","CONV","0","N"
"0218","19","72908337","0001","MT MEDIUM UNDER 70_CALO'","0",,"A","1","CONV","0","N"
"0217","43","500881932","0001","FT4 ALIMEDE","0",,"A","1","CONV","30","N"
"0026","1","501258060","0001","JUNIOR TITOLARI","0",,"A","1","CONV","30","N"
"0026","2","501258060","0001","JUNIOR FAMILIARI","0",,"A","1","CONV","30","N"
"0026","3","501258060","0001","SENIOR TITOLARI","0",,"A","1","CONV","30","N"
"0026","4","501258060","0001","SENIOR FAMILIARI","0",,"A","1","CONV","30","N"
"0027","1","501258016","0001","JUNIOR TITOLARI","0",,"A","1","CONV","30","N"
"0027","2","501258016","0001","JUNIOR FAMILIARI","0",,"A","1","CONV","30","N"
"0027","3","501258016","0001","SENIOR TITOLARI","0",,"A","1","CONV","30","N"
"0027","4","501258016","0001","SENIOR FAMILIARI","0",,"A","1","CONV","30","N"
"0034","3","79268089","0001","MODIS OPZ. 2 INDIRETTE","0",,"A","1","CONV","30","N"
"0005","5","73624568","0001","AON OPZ III BIS INT FASDAC","0",,"A","1","CONV","30","S"
"0098","202","79244413","0001","FDO TUTELA 14 CONSORZIO BONIFI","0",,"A","1","CONV","30","N"
"0098","3","72908178","0001","FDO TUTELA 01INT HITACHI ZOSEN","0",,"A","1","CONV","30","N"
"0098","4","79267282","0001","FDO TUTELA 02INT INVEL REAL","0",,"A","1","CONV","30","N"
"0098","5","72908106","0001","FDO TUTELA 04 BOLDARINO SPA","0",,"A","1","CONV","30","N"
"0098","6","72908071","0001","FDO TUTELA 10 DRINK SYSTEM SRL","0",,"A","1","CONV","30","N"
"0098","7","72908100","0001","FDO TUTELA 11 S.T.A. SRL","0",,"A","1","CONV","30","N"
"0098","191","79244370","0001","FDO TUTELA 01 INT AGS SPA","0",,"A","1","CONV","30","N"
