"COD_ACC","PRG_CONV","OPZIONE","TIPOISCRIZIONE","TIPOOPZIONE","INTEGR_SOST","FLG_INVIOSINISTRIADE","FLG_INVIOCONTRIBUTIADE"
"0003","1","MPT","CIVITUS",,,"N","N"
"0002","1","MUTUA SAS","NON PRESENTE","01-02-2022","SOSTITUTIVA","S","S"
"0004","2","MPT","CIVITUS",,,"N","N"
"0001","1","CASSA SAS","CIVITUS","01-01-2022","SOSTITUTIVA","S","N"
"0003","2","MPT","CIVITUS",,,"N","N"
"0002","2",,,,,"N","N"
"0012","1","CASSA PREVILINE ASSISTANCE","AON",,"SOSTITUTIVA","S","N"
"0007","2","CASSA PREVILINE ASSISTANCE","AON",,"SOSTITUTIVA","S","N"
"0008","2","CASSA PREVILINE ASSISTANCE","AON",,"SOSTITUTIVA","S","N"
"0009","1","CASSA PREVILINE ASSISTANCE","AON",,"SOSTITUTIVA","S","N"
"0009","2","CASSA PREVILINE ASSISTANCE","AON",,"SOSTITUTIVA","S","N"
"0011","1","CASSA PREVILINE ASSISTANCE","AON",,"SOSTITUTIVA","S","N"
"0013","2","PREVIASS II","AGENZIA ROMA MONTE SACRO (WILLIS ITALIA S.P.A.)",,"SOSTITUTIVA","S","N"
"0004","1","MPT","CIVITUS",,,"N","N"
"0013","7","PREVIASS II","AGENZIA ROMA MONTE SACRO (WILLIS ITALIA S.P.A.)",,"SOSTITUTIVA","S","N"
"0013","4","PREVIASS II","AGENZIA ROMA MONTE SACRO (WILLIS ITALIA S.P.A.)",,"SOSTITUTIVA","S","N"
"0013","5","PREVIASS II","AGENZIA ROMA MONTE SACRO (WILLIS ITALIA S.P.A.)",,"SOSTITUTIVA","S","N"
"0013","6","PREVIASS II","AGENZIA ROMA MONTE SACRO (WILLIS ITALIA S.P.A.)",,"SOSTITUTIVA","S","N"
"0014","1","MUTUA SAS","NON PRESENTE","01-02-2022","SOSTITUTIVA","N","N"
"0015","4","PREVIP","ROMA TRIONFALE",,"SOSTITUTIVA","S","N"
"0015","5","PREVIP","ROMA TRIONFALE",,"SOSTITUTIVA","S","N"
"0020","2","AREA SALUS","VERSPIEREN",,"INTEGRATIVA","S","N"
"0015","3","PREVIP","ROMA TRIONFALE",,"SOSTITUTIVA","S","N"
"0020","3","AREA SALUS","VERSPIEREN",,"SOSTITUTIVA","S","N"
"0015","2","PREVIP","ROMA TRIONFALE",,"SOSTITUTIVA","S","N"
"0021","2","AREA SALUS","VERSPIEREN",,"SOSTITUTIVA","S","N"
"0017","2","PREVIP","ROMA TRIONFALE",,"SOSTITUTIVA","S","N"
"0038","47","MUTUA MITUTELA","INSER",,"SOSTITUTIVA","S","N"
"0010","1","CASSA PREVILINE ASSISTANCE","AON",,"SOSTITUTIVA","S","N"
"0021","1","AREA SALUS","VERSPIEREN",,"SOSTITUTIVA","S","N"
"0019","7","FONDO TUTELA","INSER",,"SOSTITUTIVA","S","N"
"0038","46","MUTUA MITUTELA","INSER",,"SOSTITUTIVA","S","N"
"0019","146","FONDO TUTELA","INSER",,"SOSTITUTIVA","S","N"
"0019","4","FONDO TUTELA","INSER",,"INTEGRATIVA","S","N"
"0019","147","FONDO TUTELA","INSER",,"SOSTITUTIVA","S","N"
"0019","26","FONDO TUTELA","INSER",,"SOSTITUTIVA","S","N"
"0019","14","FONDO TUTELA","INSER",,"INTEGRATIVA","N","N"
"0019","27","FONDO TUTELA","INSER",,"SOSTITUTIVA","S","N"
"0019","28","FONDO TUTELA","INSER",,"SOSTITUTIVA","S","N"
"0019","29","FONDO TUTELA","INSER",,"SOSTITUTIVA","S","N"
"0019","30","FONDO TUTELA","INSER",,"SOSTITUTIVA","S","N"
"0019","31","FONDO TUTELA","INSER",,"SOSTITUTIVA","S","N"
"0019","32","FONDO TUTELA","INSER",,"SOSTITUTIVA","S","N"
"0019","33","FONDO TUTELA","INSER",,"SOSTITUTIVA","S","N"
"0019","34","FONDO TUTELA","INSER",,"SOSTITUTIVA","S","N"
"0019","35","FONDO TUTELA","INSER",,"SOSTITUTIVA","S","N"
"0019","37","FONDO TUTELA","INSER",,"SOSTITUTIVA","S","N"
"0019","38","FONDO TUTELA","INSER",,"SOSTITUTIVA","S","N"
"0019","39","FONDO TUTELA","INSER",,"SOSTITUTIVA","S","N"
"0019","40","FONDO TUTELA","INSER",,"SOSTITUTIVA","S","N"
"0019","41","FONDO TUTELA","INSER",,"SOSTITUTIVA","S","N"
"0019","42","FONDO TUTELA","INSER",,"SOSTITUTIVA","S","N"
"0019","43","FONDO TUTELA","INSER",,"SOSTITUTIVA","S","N"
"0019","44","FONDO TUTELA","INSER",,"SOSTITUTIVA","S","N"
"0019","45","FONDO TUTELA","INSER",,"SOSTITUTIVA","S","N"
"0019","46","FONDO TUTELA","INSER",,"SOSTITUTIVA","S","N"
"0019","47","FONDO TUTELA","INSER",,"SOSTITUTIVA","S","N"
"0019","49","FONDO TUTELA","INSER",,"SOSTITUTIVA","S","N"
"0019","50","FONDO TUTELA","INSER",,"SOSTITUTIVA","S","N"
"0019","51","FONDO TUTELA","INSER",,"SOSTITUTIVA","S","N"
"0019","52","FONDO TUTELA","INSER",,"SOSTITUTIVA","S","N"
"0019","53","FONDO TUTELA","INSER",,"SOSTITUTIVA","S","N"
"0019","54","FONDO TUTELA","INSER",,"SOSTITUTIVA","S","N"
"0019","55","FONDO TUTELA","INSER",,"SOSTITUTIVA","S","N"
"0019","56","FONDO TUTELA","INSER",,"SOSTITUTIVA","S","N"
"0019","57","FONDO TUTELA","INSER",,"SOSTITUTIVA","S","N"
"0019","58","FONDO TUTELA","INSER",,"SOSTITUTIVA","S","N"
"0019","59","FONDO TUTELA","INSER",,"SOSTITUTIVA","S","N"
"0019","60","FONDO TUTELA","INSER",,"SOSTITUTIVA","S","N"
"0019","61","FONDO TUTELA","INSER",,"SOSTITUTIVA","S","N"
"0019","75","FONDO TUTELA","INSER",,"SOSTITUTIVA","S","N"
"0019","85","FONDO TUTELA","INSER",,"SOSTITUTIVA","S","N"
"0038","5","MUTUA MITUTELA","INSER",,"SOSTITUTIVA","S","N"
"0041","4","C.A.S.S.A.","ASSITECA",,"INTEGRATIVA","S","N"
"0019","150","FONDO TUTELA","INSER",,"SOSTITUTIVA","S","N"
"0019","149","FONDO TUTELA","INSER",,"SOSTITUTIVA","S","N"
"0041","5","C.A.S.S.A.","ASSITECA",,"INTEGRATIVA","S","N"
"0019","148","FONDO TUTELA","INSER",,"INTEGRATIVA","S","N"
"0041","12","C.A.S.S.A.","ASSITECA",,"SOSTITUTIVA","S","N"
"0019","154","FONDO TUTELA","INSER",,"SOSTITUTIVA","S","N"
"0041","1","C.A.S.S.A.","ASSITECA",,"SOSTITUTIVA","S","N"
"0041","2","C.A.S.S.A.","ASSITECA",,"SOSTITUTIVA","S","N"
"0041","3","C.A.S.S.A.","ASSITECA",,"SOSTITUTIVA","S","N"
"0041","6","C.A.S.S.A.","ASSITECA",,"INTEGRATIVA","S","N"
"0041","9","C.A.S.S.A.","ASSITECA",,"INTEGRATIVA","S","N"
"0041","10","C.A.S.S.A.","ASSITECA",,"INTEGRATIVA","S","N"
"0041","11","C.A.S.S.A.","ASSITECA",,"SOSTITUTIVA","S","N"
"0041","18","C.A.S.S.A.","ASSITECA",,"SOSTITUTIVA","S","N"
"0041","19","C.A.S.S.A.","ASSITECA",,"SOSTITUTIVA","S","N"
"0041","20","C.A.S.S.A.","ASSITECA",,"SOSTITUTIVA","S","N"
"0052","1","PREVIASS II","WILLIS TOWER WATSON",,"INTEGRATIVA","S","N"
"0049","4","HYPO BANK","AGENZIA DI CODROIPO",,"SOSTITUTIVA","S","N"
"0053","6","PREVIP","MUNICH RE",,"SOSTITUTIVA","S","N"
"0048","1","PREVIP","MILANO CENTRO",,"SOSTITUTIVA","S","N"
"0053","15","PREVIP","MUNICH RE",,"SOSTITUTIVA","S","N"
"0053","7","PREVIP","MUNICH RE",,"SOSTITUTIVA","S","N"
"0053","8","PREVIP","MUNICH RE",,"SOSTITUTIVA","S","N"
"0053","9","PREVIP","MUNICH RE",,"SOSTITUTIVA","S","N"
"0056","1","PALLADINI & PARTNERS","AGENZIA ALBA 90 (PALLADINI & PARTNERS)",,"SOSTITUTIVA","N","N"
"0056","4","PALLADINI & PARTNERS","AGENZIA ALBA 90 (PALLADINI & PARTNERS)",,"INTEGRATIVA","N","N"
"0056","17","PALLADINI & PARTNERS","AGENZIA ALBA 90 (PALLADINI & PARTNERS)",,"INTEGRATIVA","N","N"
"0056","3","PALLADINI & PARTNERS","AGENZIA ALBA 90 (PALLADINI & PARTNERS)",,"INTEGRATIVA","N","N"
"0058","2","PREVIP","FUNK INTERNATIONAL SPA",,"SOSTITUTIVA","S","N"
"0038","48","MUTUA MITUTELA","INSER",,"SOSTITUTIVA","S","N"
"0058","1","PREVIP","FUNK INTERNATIONAL SPA",,"SOSTITUTIVA","S","N"
"0062","2","PREVIP","MILANO CENTRO",,"INTEGRATIVA","S","N"
"0063","1","PREVIASS","WILLIS TOWER WATSON",,"SOSTITUTIVA","S","N"
"0019","152","FONDO TUTELA","INSER",,"SOSTITUTIVA","S","N"
"0019","151","FONDO TUTELA","INSER",,"SOSTITUTIVA","S","N"
"0019","153","FONDO TUTELA","INSER",,"SOSTITUTIVA","S","N"
"0019","155","FONDO TUTELA","INSER",,"SOSTITUTIVA","S","N"
"0019","156","FONDO TUTELA","INSER",,"SOSTITUTIVA","S","N"
"0019","157","FONDO TUTELA","INSER",,"SOSTITUTIVA","S","N"
"0019","160","FONDO TUTELA","INSER",,"SOSTITUTIVA","S","N"
"0019","159","FONDO TUTELA","INSER",,"SOSTITUTIVA","S","N"
"0019","158","FONDO TUTELA","INSER",,"SOSTITUTIVA","S","N"
"0019","161","FONDO TUTELA","INSER",,"SOSTITUTIVA","S","N"
"0019","162","FONDO TUTELA","INSER",,"SOSTITUTIVA","S","N"
"0019","163","FONDO TUTELA","INSER",,"SOSTITUTIVA","S","N"
"0019","164","FONDO TUTELA","INSER",,"SOSTITUTIVA","S","N"
"0019","165","FONDO TUTELA","INSER",,"SOSTITUTIVA","S","N"
"0019","166","FONDO TUTELA","INSER",,"SOSTITUTIVA","S","N"
"0019","167","FONDO TUTELA","INSER",,"SOSTITUTIVA","S","N"
"0038","73","MUTUA MITUTELA","INSER",,"SOSTITUTIVA","S","N"
"0038","74","MUTUA MITUTELA","INSER",,"SOSTITUTIVA","S","N"
"0038","75","MUTUA MITUTELA","INSER",,"SOSTITUTIVA","S","N"
"0038","78","MUTUA MITUTELA","INSER",,"SOSTITUTIVA","S","N"
"0038","76","MUTUA MITUTELA","INSER",,"SOSTITUTIVA","S","N"
"0038","77","MUTUA MITUTELA","INSER",,"SOSTITUTIVA","S","N"
