"IDFATTURA","ANNO_PRA","NUM_PRA","PRG_VOCE"
"22","2023","00000452","1"
"33275","2024","00067496","1"
"23","2023","00000456","1"
"24","2023","00000456","2"
"33275","2024","00067496","2"
"33282","2024","00067510","2"
"180","2024","00000781","2"
"75","2024","00000033","1"
"33360","2024","00067655","1"
"246","2024","00000964","1"
"107","2024","00000433","1"
"179","2024","00000781","1"
"146","2024","00000655","1"
"342","2024","00001288","1"
"295","2024","00001147","2"
"205","2024","00000855","1"
"191","2024","00000811","1"
"118","2024","00000017","1"
"118","2024","00000017","2"
"118","2024","00000017","3"
"449","2024","00001575","1"
"33272","2024","00067493","1"
"159","2024","00000711","1"
"161","2024","00000142","1"
"1448","2024","00004057","1"
"930","2024","00002734","2"
"33319","2024","00067571","1"
"197","2024","00000829","2"
"204","2024","00000853","1"
"185","2024","00000080","2"
"186","2024","00000080","1"
"295","2024","00001147","1"
"307","2024","00001185","1"
"1457","2024","00004065","1"
"197","2024","00000829","3"
"33273","2024","00067493","2"
"228","2024","00000906","1"
"368","2024","00000712","1"
"214","2024","00000443","1"
"735","2024","00002281","1"
"230","2024","00000914","2"
"33320","2024","00067573","2"
"291","2024","00000633","4"
"449","2024","00001575","2"
"437","2024","00001567","1"
"291","2024","00000633","1"
"809","2024","00002432","1"
"282","2024","00000340","1"
"291","2024","00000633","2"
"709","2024","00002224","1"
"309","2024","00001195","1"
"1421","2024","00004001","1"
"125","2024","00000525","1"
"323","2024","00001239","1"
"33411","2024","00067549","1"
"335","2024","00001267","1"
"469","2024","00001626","2"
"33281","2024","00067510","1"
"468","2024","00001630","1"
"33368","2024","00067671","1"
"328","2024","00000228","1"
"33297","2024","00067533","1"
"80","2024","00000226","1"
"254","2024","00000982","1"
"368","2024","00000712","2"
"368","2024","00000712","3"
"368","2024","00000712","4"
"507","2024","00001725","1"
"253","2024","00000980","1"
"343","2024","00001289","1"
"455","2024","00001585","1"
"345","2024","00001290","1"
"318","2024","00001229","1"
"259","2024","00001004","1"
"257","2024","00000988","1"
"225","2024","00000900","1"
"33301","2024","00067533","2"
"352","2024","00001307","1"
"559","2024","00001837","1"
"33358","2024","00067651","1"
"482","2024","00001660","1"
"438","2023","00000632","1"
"845","2024","00000948","1"
"951","2024","00002793","1"
"920","2024","00002704","1"
"33404","2024","00067899","1"
"1851","2024","00001903","1"
"908","2024","00002677","1"
"954","2024","00001345","2"
"954","2024","00001345","3"
"1436","2024","00004031","1"
"903","2024","00002668","1"
"942","2024","00002771","1"
"1464","2024","00004080","1"
"919","2024","00002702","2"
"1467","2024","00004099","1"
"1466","2024","00004084","1"
"919","2024","00002702","1"
"511","2024","00001731","1"
"861","2024","00002550","1"
"368","2024","00000712","6"
"470","2024","00001626","1"
"1731","2024","00004712","1"
"149","2024","00000675","1"
"193","2024","00000823","1"
"192","2024","00000813","1"
"157","2024","00000701","1"
"170","2024","00000754","1"
"171","2024","00000756","1"
"33373","2024","00067682","1"
"145","2024","00000653","1"
"353","2024","00001314","1"
"178","2024","00000778","1"
"385","2024","00001048","1"
"33375","2024","00067842","1"
"155","2024","00000695","1"
"33400","2024","00067889","1"
"33412","2024","00065012","1"
"33412","2024","00065012","2"
"33413","2024","00050537","1"
"33381","2024","00067854","1"
"475","2024","00000222","1"
"1687","2024","00004635","1"
"692","2024","00002163","1"
"33381","2024","00067854","2"
"541","2024","00001791","1"
"722","2024","00002256","1"
"33381","2024","00067854","3"
"1495","2024","00004188","1"
"239","2024","00000944","1"
"484","2024","00001666","1"
"33414","2024","00054502","1"
"1584","2024","00001394","1"
"1496","2024","00004188","2"
"977","2024","00002866","1"
"1522","2024","00004245","1"
"252","2024","00000978","1"
"33414","2024","00054502","2"
"563","2024","00001845","1"
"463","2024","00001601","1"
"860","2024","00001674","1"
"411","2024","00001472","1"
"509","2024","00000136","1"
"1502","2024","00004199","1"
"1554","2024","00004315","1"
"33414","2024","00054502","3"
"515","2024","00001745","1"
"33414","2024","00054502","4"
"1584","2024","00001394","2"
"941","2024","00002759","3"
"1751","2024","00004742","1"
"1830","2024","00004918","1"
"1732","2024","00001241","1"
"33414","2024","00054502","5"
"33414","2024","00054502","6"
"108","2024","00000437","1"
"860","2024","00001674","2"
"1007","2024","00000383","1"
"33414","2024","00054502","7"
"1743","2024","00003681","2"
"33414","2024","00054502","8"
"1791","2024","00004832","1"
"1741","2024","00000625","1"
"419","2024","00001495","1"
"1743","2024","00003681","3"
"1743","2024","00003681","5"
"917","2024","00002692","1"
"1743","2024","00003681","6"
"1743","2024","00003681","4"
"1743","2024","00003681","7"
"619","2024","00002002","1"
"967","2024","00002838","1"
"1743","2024","00003681","8"
"910","2024","00002683","1"
"968","2024","00002842","1"
"883","2024","00002600","1"
"1743","2024","00003681","9"
"779","2024","00002365","1"
"33414","2024","00054502","9"
"584","2024","00001617","1"
"462","2024","00001599","1"
"203","2024","00000851","1"
"1743","2024","00003681","10"
"597","2024","00001954","1"
"33414","2024","00054502","10"
"605","2024","00000272","1"
"1743","2024","00003681","11"
"1743","2024","00003681","12"
"1743","2024","00003681","13"
"868","2024","00002572","1"
"1743","2024","00003681","14"
"1743","2024","00003681","17"
"266","2024","00001028","1"
"652","2024","00002081","1"
"492","2024","00001682","1"
"33414","2024","00054502","11"
"33414","2024","00054502","12"
"585","2024","00001478","1"
"583","2024","00001913","1"
"670","2024","00001199","1"
"670","2024","00001199","2"
"670","2024","00001199","3"
"670","2024","00001199","4"
"670","2024","00001199","5"
"670","2024","00001199","6"
"412","2024","00001474","1"
"569","2024","00001869","1"
"665","2024","00002109","1"
"601","2024","00001962","1"
"672","2024","00002119","1"
"673","2024","00002121","1"
"1743","2024","00003681","18"
"33414","2024","00054502","13"
"1020","2024","00002428","1"
"184","2024","00000790","1"
"334","2024","00001265","1"
"245","2024","00000962","1"
"248","2024","00000970","1"
"213","2024","00000871","1"
"218","2024","00000881","1"
"485","2024","00001670","1"
"33414","2024","00054502","14"
"1743","2024","00003681","19"
"33414","2024","00054502","15"
"581","2024","00001909","1"
"1743","2024","00003681","15"
"782","2024","00002375","1"
"773","2024","00002353","1"
"457","2024","00001589","1"
"691","2024","00002159","1"
"705","2024","00002215","1"
"33414","2024","00054502","16"
"33414","2024","00054502","17"
"714","2024","00002232","1"
"33414","2024","00054502","18"
"734","2024","00002279","1"
"768","2024","00002343","1"
"33414","2024","00054502","19"
"1743","2024","00003681","16"
"694","2024","00002169","1"
"1744","2024","00001364","1"
"554","2024","00001823","1"
"506","2024","00001723","1"
"869","2024","00001205","1"
"1744","2024","00001364","2"
"1778","2024","00002498","1"
"33414","2024","00054502","20"
"872","2024","00002578","1"
"33414","2024","00054502","21"
"33414","2024","00054502","22"
"563","2024","00001845","2"
"1762","2024","00004762","1"
"563","2024","00001845","3"
"1788","2024","00004826","1"
"563","2024","00001845","4"
"1763","2024","00004764","1"
"563","2024","00001845","5"
"595","2024","00001514","1"
"33414","2024","00054502","23"
"1013","2024","00002687","1"
"1017","2024","00002940","1"
"1018","2024","00002153","1"
"1823","2024","00004907","1"
"732","2024","00002275","1"
"1758","2024","00004754","1"
"1828","2024","00004915","1"
"1777","2024","00004795","1"
"1752","2024","00004744","1"
"1819","2024","00004898","1"
"1818","2024","00004894","1"
"1800","2024","00004852","1"
"1797","2024","00004844","1"
"979","2024","00002870","1"
"31","2023","00000494","1"
"6","2023","00000385","1"
"27","2023","00000476","1"
"27","2023","00000476","2"
"3","2023","00000378","1"
"32","2023","00000494","2"
"33","2023","00000504","1"
"33","2023","00000504","2"
"33","2023","00000504","3"
"33","2023","00000504","4"
"126","2024","00000533","1"
"410","2024","00001470","1"
"498","2024","00000196","1"
"697","2024","00002193","1"
"500","2024","00001704","1"
"230","2024","00000914","1"
"639","2024","00002040","1"
"545","2024","00001799","1"
"599","2024","00001958","1"
"606","2024","00001974","1"
"86","2024","00000031","1"
"86","2024","00000031","2"
"503","2024","00001711","1"
"364","2024","00001339","1"
"3288","2024","00008101","1"
"217","2024","00000879","1"
"358","2024","00000270","1"
"607","2024","00001387","1"
"634","2024","00002030","1"
"325","2024","00001245","1"
"839","2024","00002508","1"
"119","2024","00000072","1"
"346","2024","00001292","1"
"439","2024","00001569","1"
"568","2024","00001861","1"
"414","2024","00001483","1"
"243","2024","00000958","1"
"539","2024","00001787","1"
"513","2024","00001741","1"
"182","2024","00000785","1"
"196","2024","00000829","1"
"202","2024","00000849","1"
"174","2024","00000768","1"
"371","2024","00001368","1"
"226","2024","00000902","1"
"650","2024","00002080","1"
"363","2024","00001335","1"
"208","2024","00000861","1"
"3289","2024","00008101","2"
"207","2024","00000859","1"
"106","2024","00000395","1"
"3294","2024","00006263","2"
"278","2024","00001056","1"
"3339","2024","00008201","1"
"750","2024","00002307","1"
"234","2024","00000925","1"
"324","2024","00001243","1"
"453","2024","00001581","1"
"222","2024","00000894","1"
"3292","2024","00008105","1"
"3294","2024","00006263","1"
"3299","2024","00008127","1"
"3308","2024","00006294","1"
"3334","2024","00008193","2"
"224","2024","00000898","1"
"297","2024","00001156","1"
"400","2024","00001452","1"
"292","2024","00001125","1"
"102","2024","00000354","1"
"73","2024","00000176","1"
"138","2024","00000611","1"
"3342","2024","00007158","2"
"3342","2024","00007158","3"
"183","2024","00000788","1"
"227","2024","00000904","1"
"177","2024","00000774","1"
"229","2024","00000912","1"
"378","2024","00001398","1"
"775","2024","00002357","1"
"3342","2024","00007158","1"
"3342","2024","00007158","4"
"409","2024","00001468","1"
"489","2024","00001676","1"
"805","2024","00002426","1"
"576","2024","00001887","1"
"806","2024","00002426","2"
"303","2024","00000986","1"
"201","2024","00000847","1"
"258","2024","00001000","1"
"841","2024","00002513","1"
"3342","2024","00007158","5"
"3342","2024","00007158","6"
"408","2024","00001466","1"
"406","2024","00001463","1"
"370","2024","00001366","1"
"535","2024","00001777","1"
"993","2024","00002894","1"
"348","2024","00001299","1"
"758","2024","00002327","1"
"719","2024","00002250","1"
