"COD_ENTE","ENTE_PADRE_PRAT","ENTE_PADRE_BON"
"0001","0001","0001"
"0005","0005","0005"
"0006","0006","0006"
"0007","0007","0007"
"0009","0009","0009"
"0010","0010","0010"
"0008","0008","0008"
"0003","0003","0003"
"0004","0004","0004"
"0011","0011","0011"
"0002","0002","0002"
"0025","0025","0025"
"0013","0013","0013"
"0024","0024","0024"
"0041","0041","0041"
"0052","0052","0052"
"0071","0071","0071"
"0076","0076","0076"
"0014","0014","0014"
"0015","0015","0015"
"0033","ALLI","ALLI"
"0023","0023","0023"
"0068","ALLI","ALLI"
"0063","0063","0063"
"0054","0054","0054"
"0065","0065","0065"
"0017","0017","0017"
"0026","0026","0026"
"0056","0056","0056"
"0073","0073","0073"
"0016","ALLI","ALLI"
"0036","0036","0036"
"0072","0072","0072"
"0062","0062","0062"
"0027","0027","0027"
"0028","0028","0028"
"9999","9999","9999"
"0030","0030","0030"
"0031","0031","0031"
"0066","0066","0066"
"0050","0050","0050"
"0053","0053","0053"
"0078","0078","0078"
"0051","0051","0051"
"0070","0070","0070"
"0043","0043","0043"
"0044","0044","0044"
"0020","0020","0020"
"0067","ALLI","ALLI"
"0039","0039","0039"
"0040","0040","0040"
"0037","0037","0037"
"0057","0057","0057"
"0061","0061","0061"
"0077","0077","0077"
"0021","0021","0021"
"0022","0022","0022"
"0042","0042","0042"
"0045","0045","0045"
"0058","0058","0058"
"0018","0018","0018"
"0019","0019","0019"
"0032","ALLI","ALLI"
"0034","0034","0034"
"0055","0055","0055"
"0064","0064","0064"
"0046","0046","0046"
"0059","0059","0059"
"0060","0060","0060"
"0069","0069","0069"
"0038","0038","0038"
"0074","0074","0074"
"0075","0075","0075"
"0049","0049","0049"
"0048","0048","0048"
"0047","0047","0047"
"0035","0035","0035"
"0012","0012","0012"
"0079","ALLI","ALLI"
