"IDGRUPPOSTRUTTURA","DESCGRUPPOSTRUTTURA"
"29","GRUPPO ISTITUTI CLINICI DI PAVIA E VIGEVANO SPA"
"18","GRUPPO CERBA"
"33","I.R.C.C.S. OSPEDALE SAN RAFFAELE TURRO"
"26","GRUPPO SMART DENTAL CLINIC"
"34","POLIAMBULATORIO SAN RAFFAELE DI SAN DONATO MILANESE"
"15","GRUPPO CAB SRL"
"13","GRUPPO SYNLAB MED SRL TOSCANA"
"14","GRUPPO MULTIMEDICA SPA"
"31","GRUPPO OSPEDALIERI BRESCIANI"
"24","H SAN RAFFAELE RESNATI"
"10","GRUPPO KOELLIKER"
"11","GRUPPO USI"
"27","GRUPPO SMART CLINIC"
"28","GRUPPO ISTITUTO CLINICI ZUCCHI"
"12","CENTRO MEDICO SPECIALISTICO BOLOGNESE"
"25","GRUPPO AFFIDEA"
"30","GRUPPO ISTITUTI OSPEDALIERI BERGAMASCHI SRL"
"20","SMART CLINIC ORIO AL SERIO"
"16","GRUPPO HUMANITAS"
"17","GRUPPO ASTER DIAGNOSTICA SRL"
"21","VILLA ERBOSA SPA"
"32","I.R.C.C.S. OSPEDALE SAN RAFFAELE"
