"COD_GRUPPO","COD_LETTERA","DES_LETTERA","PROGRAMMA","TIPO"
"01","0101","CAUSALE NON PREVISTA                 ","0101","P"
"01","0102","MASSIMALI ESAURITI                   ","0102","P"
"01","0103","IMPORTO INFER. A FRANC.              ","0103","P"
"01","0104","DOCUMEN. FUORI TERMINE               ","0104","P"
"01","0105","SPESE GIA' LIQUIDATE                ","0105","P"
"01","0106","VISITE SPECIALISTICHE                ","0106","P"
"01","0107","ANALISI DI LABORATORIO               ","0107","P"
"01","0108","PRESTAZ. FISIOTERAPEUTICHE           ","0108","P"
"01","0109","SEDUTE PSICOTERAPEUTICHE             ","0109","P"
"01","0110","MEDICINALI                           ","0110","P"
"01","0111","PROD. PARAFARMACEUTICI               ","0111","P"
"01","0112","RICHIED. NON ASSISTITO               ","0112","P"
"01","0113","GIORNI ESAURITI                      ","0113","P"
"01","0114","GRAVIDANZA                           ","0114","P"
"01","0115","NON ALTER. STATO SALUTE              ","0115","P"
"01","0116","PER PROT. ORPED. NON VAL.            ","0116","P"
"01","0117","PER MENOPAUSA                        ","0117","P"
"01","0118","PER ESCLUS. PATTO SPECIALE           ","0118","P"
"01","0119","PER TERAPIE NON PREVISTE             ","0119","P"
"02","0201","PER DIAGNOSI MALATTIA                ","0201","P"
"02","0202","PER DOCUMENTAZ. IN ORIGINALE         ","0202","P"
"02","0203","PER SPESE A CARICO DEL SSN           ","0203","P"
"02","0204","PER DOCUMENTAZIONE TRADOTTA          ","0204","P"
"02","0205","PER CARTELLA CLINICA                 ","0205","P"
"02","0206","PER FATT. O RICEVUTA FISCALE         ","0206","P"
"02","0207","PER DOCUMENTAZIONE LEGGIBILE         ","0207","P"
"02","0208","PER FATT. CON NUM. E/O DATA          ","0208","P"
"02","0209","PER FATT. CON INT. E/O IMP.          ","0209","P"
"02","0210","PER ATTEST. MODIFICA VISUS           ","0210","P"
"02","0211","PER ATT. INTERV. AMBULAT.            ","0211","P"
"02","0212","PER ATTEST. NECESSITA' ACCER.       ","0212","P"
"02","0213","PER ATT.NECESS. TRATT. RIED.         ","0213","P"
"02","0214","PER ATTEST. NECESSITA' TERAP.       ","0214","P"
"02","0215","PER ATT. NECESSITA' PSICOTER.       ","0215","P"
"02","0216","PER FUSTELLE                         ","0216","P"
"02","0217","PER DETT. PER PLAFOND DISTINTI       ","0217","P"
"02","0218","PER DETT. UNA SOLA RIMBORSABILE      ","0218","P"
"02","0219","PER DETT. PRESTAZIONI ED IMPORTI     ","0219","P"
"02","0220","PER PRESCRIZIONE DIAGNOSI            ","0220","P"
"03","0301","DEL MEDICO CURANTE","0301","A"
"03","0302","DEL MEDICO OCULISTA                  ","0302","A"
"03","0303","DEL MEDICO CARDIOLOGO                ","0303","A"
"03","0304","DEL MEDICO NEUROLOGO                 ","0304","A"
"03","0305","DEL MEDICO ORTOPEDICO                ","0305","A"
"03","0306","DEL MEDICO OCULISTA PRE-INTERVENTO   ","0306","A"
"03","0307","DEL MEDICO PNEUNOMOLOGO              ","0307","A"
"03","0308","DEL MEDICO DEL SANGUE                ","0308","A"
"03","0309","DEL MEDICO ANDROLOGO/GINECOLOCO      ","0309","A"
"03","0310","DEL MEDICO CURANTE PER INTERV. SUBITI","0310","A"
"03","0311","DEL MEDICO GASTROENTEROLOGO          ","0311","A"
"03","0312","DEL MEDICO ENDOCRINOLOGO             ","0312","A"
"03","0313","DEL MEDICO CURANTE PER CONGENITE     ","0313","A"
"03","0314","CON CARTELLA CLINICA                 ","0314","A"
"03","0315","CON REFERTO MEDICO                   ","0315","A"
"04","0401","PER INDICAZIONE FISIOTERAPISTA","0401","P"
"04","0402","PER LOGOPEDISTA","0402","P"
"04","0403","PER DETTAGLIO MEDICINA PREVENTIVA","0403","P"
"04","0404","PER PRESCRIZIONE","0404","P"
"04","0405","PER PRONTO SOCCORSO","0405","P"
"04","0406","PER INDICAZIONE MEDICO E SPECIALIZZ.","0406","P"
"04","0407","PER MEDICO ALTRE TERAPIE","0407","P"
"04","0408","PER SPECIFICA TIPO DI PRESTAZIONI","0408","P"
"04","0409","PER PRESCRIZIONE PSICOTERAPIE","0409","P"
"04","0410","PER DIAGNOSI DEI DENTI               ","0410","P"
"04","0411","PER DETTAGLIO DEGENZA                ","0411","P"
"05","0501","PER FISIOTERAPIE NON PREVISTE","0501","P"
"05","0502","PER LASERTERAPIA","0502","P"
"05","0503","PER MEDICINALI NON PREVISTI","0503","P"
"05","0504","PER PSICOTERAPIE","0504","P"
"05","0505","PER SPECIALIZZAZIONE NON ATTINENTE","0505","P"
"05","0506","PER VISITE NON EFFETTUATE DA MEDICO","0506","P"
"05","0507","PER VISITE NON SPECIALISTICHE","0507","P"
"05","0508","PER PERSONA NON ASSISTITA","0508","P"
"05","0509","PER VISITE PEDIATRICHE","0509","P"
"06","0601","CORRETTEZZA                          ","0601","P"
"07","0701","PER RESTITUZIONE ORIGINALI           ","0701","P"
"08","0801","PER APPARATO CARDIACO","0801","A"
"08","0802","PER APPARATO VASCOLARE               ","0802","A"
"08","0803","PER APPARATO VISIVO                  ","0803","A"
"08","0804","PER APPARATO UROLOGICO               ","0804","A"
"08","0805","PER SIST. NERVOSO CENTRALE E PERIF.  ","0805","A"
"08","0806","PER APPARATO RESPIRATORIO            ","0806","A"
"08","0807","PER APPARATO DIGERENTE               ","0807","A"
"08","0808","PER APPARATO GENITALE                ","0808","A"
"08","0809","PER M. RIP. DELLE PATOLOGIE OPERATE  ","0809","A"
"08","0810","PER MALATTIE NEOPLASTICHE            ","0810","A"
"08","0811","PER APPARATO EMOPOIETICO             ","0811","A"
