"COD_MAX","DES_MAX","FLG_STATO"
"0001","MASSIMALE AREA RICOVERO","S"
"0003","TRASPORTO INFERMO E ACCOMPAGNATORE ESTERO","S"
"0002","TRASPORTO AMBULANZA","S"
"0004","VITTO E PERNOTTAMENTO ACCOMPAGNATORE","S"
"0005","COLLABORATRICE FAMILIARE","S"
"0006","RICOVERO FORME MORBOSE CRONICHE","S"
"0007","EXTRAOSPEDALIERE","S"
"0008","FUNZIONALITA ORMONALE SPERMIOGRAMMA","S"
"0009","CURE ONCOLOGICHE","S"
"0010","INTERVENTO AMBULATORIALE","S"
"0011","VISITE SPECIALISTICHE","S"
"0012","INDENNITÀ MUTUO","S"
"0013","VISITE PREVENTIVE","S"
"0025","INTERVENTI ALTA SPECIALIZZAZIONE","S"
"0027","VISITE SPECIALISTICHE","S"
"0028","VISITE SPECIALISTICHE","S"
"0029","VISITE SPECIALISTICHE","S"
"0055","PARTO CESAREO E ABORTO TERAPEUTICO","S"
"0056","PARTO NATURALE","S"
"0057","DIARIA SURROGATORIA","S"
"0058","TRASPORTO INFERMO ITALIA E ESTERO AMBULANZA TRENO E AEREO","S"
"0059","VITTO E PERNOTTAMENTO ACCOMPAGNATORE","S"
"0060","ASSISTENZA INFERMIERISTICA DOMICILIARE","S"
"0061","TERAPIE","S"
"0062","MEDICINALI","S"
"0063","MEDICINA PREVENTIVA","S"
"0064","CURE DENTARIE","S"
"0065","TICKET","S"
"0066","LENTI CORRETTIVE","S"
"0112","CURE DENTARIE E ORTODONTICHE","S"
"0168","LENTI CORRETTIVE","S"
"0169","PRESTAZIONI FISIOTERAPICHE A SEGUITO INFORTUNIO","S"
"0170","VISITE SPECIALISTICHE ED ESAMI DIAGNOSTICI DI LABORATORIO","S"
"0171","PRESTAZIONI DI FISIOKINESITERAPIA","S"
"0172","CURE DENTARIE ED ORTODONTICHE","S"
"0173","EXTRAOSPEDALIERE","S"
"0175","PARTO NATURALE","S"
"0176","DAY HOSPITAL SENZA INTERVENTO","S"
"0177","TRASPORTO INFERMO E ACCOMP. ESTERO TRENO E AEREO","S"
"0178","VITTO E PERNOTTAMENTO ACCOMPAGNATORE","S"
"0179","DIARIA SURROGATORIA","S"
"0180","CURE PER PATOLOGIE ONCOLOGICHE","S"
"0188","LENTI CORRETTIVE","S"
"0189","PROTESI E PRESIDI","S"
"0238","DIARIA SURROGATORIA DAY HOSPITAL","S"
"0239","DIARIA SURROGATORIA PARTO NATURALE","S"
"0240","TRISOMIA 21","S"
"0241","LIVELLO DI NON AUTOSUFFICIENZA 40 PUNTI","S"
"0242","LIVELLO DI NON AUTOSUFFICIENZA 35 PUNTI","S"
"0243","FECONDAZIONE ETEROLOGA","S"
"0244","CURE TERMALI PER MINORI","S"
"0249","TICKET","S"
"0014","VISITA PREVENTIVA","S"
"0015","PARTO CESAREO","S"
"0016","PARTO NATURALE","S"
"0017","INDENNITA' DI CONVALESCENZA","S"
"0018","DIARIA SURROGATORIA","S"
"0019","VISITE SPECIALISTICHE ED ESAMI DIAGNOSTICI DI LABORATORIO","S"
"0020","COLLOQUI E SEDUTE PSICHIATRICHE","S"
"0021","CURE DENTARIE ED ORTODONTICHE","S"
"0022","VISITE SPECIALISTICHE","S"
"0023","PACCHETTO PREVENZIONE CAPONUCLEO E CONIUGE","S"
"0024","DIARIA SURROGATORIA","S"
"0026","TRASPORTO INFERMO E ACCOMP. ESTERO TRENO E AEREO","S"
"0030","LENTI CORRETTIVE","S"
"0035","PACCHETTO PREVENZIONE CAPONUCLEO E CONIUGE","S"
"0068","LOGOPEDIA","S"
"0079","TRASPORTO IN AMBULANZA","S"
"0080","TRASPORTO INFERMO E ACCOMPAGNATORE ESTERO","S"
"0081","VISITE SPECIALISTICHE","S"
"0082","VISITE PEDIATRICHE","S"
"0083","CURE DENTARIE E ORTODONTICHE","S"
"0084","CURE TERAPIE E MEDICINALI PER AFFEZIONI ONCOLOGICHE","S"
"0085","LENTI CORRETTIVE E LENTI A CONTATTO","S"
"0086","TERAPIE FINALIZZATE AL RECUPERO DELLA SALUTE","S"
"0087","PSICOTERAPIA","S"
"0088","PROTESI ACUSTICHE","S"
"0089","ASSISTENZA INFERMIERISTICA DOMICILIARE","S"
"0090","CURE TERMALI","S"
"0109","TERAPIE FINALIZZATE AL RECUPERO DELLA SALUTE","S"
"0148","TRASPORTO IN AMBULANZA","S"
"0149","EXTRAOSPEDALIERE","S"
"0158","CURE DENTARIE E ORTODONTONTICHE","S"
"0201","AREA RICOVERO","S"
"0202","EXTRAOSPEDALIERE","S"
"0203","SPESE DOMICILIARI E AMBULATORIALI","S"
"0207","AREA RICOVERI","S"
"0209","GRANDE INTERVENTO CHIRURGICO","S"
"0219","AREA RICOVERO","S"
"0220","EXTRARICOVERO","S"
"0221","EXTRARICOVERO","S"
"0222","PRESTAZIONI FISIOTERAPICHE","S"
"0223","CURE ODONTOIATRICHE","S"
"0224","CURE ODONTOIATRICHE","S"
"0225","NON AUTOSUFFICIENZA","S"
"0226","NON AUTOSUFFICIENZA","S"
"0227","NON AUTOSUFFICIENZA","S"
"0228","RIMPATRIO DELLA SALMA","S"
"0229","GARANZIA NEONATI","S"
"0230","EXTRAOSPEDALIERE","S"
"0231","PROTESI ORTOPEDICHE ED ACUSTICHE","S"
"0232","CURE PER PATOLOGIE ONCOLOGICHE","S"
"0233","PACCHETTO MATERNITA","S"
"0234","CURE DENTARIE","S"
"0235","PROTESI ORTODONTICHE","S"
"0245","AREA RICOVERO","S"
"0246","GRANDI INTERVENTI","S"
"0247","EXTRAOSPEDALIERE","S"
"0248","LENTI CORRETTIVE","S"
"0031","PRESTAZIONI FISIOTERAPICHE","S"
"0032","EXTRAOSPEDALIERE","S"
"0033","CURE ODONTOIATRICHE","S"
"0034","PRESTAZIONI DI IMPIANTOLOGIA","S"
"0036","CURE DENTARIE ED ORTODONTICHE","S"
"0049","VISITE SPECIALISTICHE ED ESAMI DIAGNOSTICI","S"
"0050","MEDICINALI","S"
"0051","LENTI CORRETTIVE","S"
"0052","SPESE AGGIUNTIVE","S"
"0053","EXTRAOSPEDALIERE","S"
"0054","CURE DENTARIE ED ORTODONTICHE","S"
"0110","INFERMITA' GRAVI E PERMANENTI","S"
"0111","SINDROME DELLO SPETTRO AUTISTICO","S"
"0122","VISITE SPECIALISTICHE ED ESAMI DIAGNOSTICI E DI LABORATORIO","S"
"0123","CURE DENTARIE ED ORTODONTICHE","S"
"0124","VISITE SPECIALISTICHE ED ESAMI DIAGNOSTICI E DI LABORATORIO","S"
"0125","PSICOTERAPIA","S"
"0126","STATO DI NON AUTOSUFFICIENZA","S"
"0127","INTERVENTO TONSILLE O VEGETAZIONI ADENOIDE","S"
"0128","AREA RICOVERO GENITORI","S"
"0130","VISITE SPECIALISTICHE ED ESAMI DIAGNOSTICI DI LABORATORIO","S"
"0131","VISITE PEDIATRICHE","S"
"0132","MEDICINALI","S"
"0133","CURE DENTARIE ED ORTODONTICHE","S"
"0134","LENTI CORRETTIVE","S"
"0135","MASSIMALE AREA RICOVERO","S"
"0136","VISITE SPECIALISTICHE","S"
"0137","CURE DENTARIE E ORTODONTICHE","S"
"0138","CURE ONCOLOGICHE","S"
"0139","PROTESI ORTOPEDICHE ED ACUSTICHE","S"
"0140","EXTRAOSPEDALIERE","S"
"0141","CURE E PATOLOGIE ONCOLOGICHE","S"
"0142","PRESTAZIONI DI FISIOKINESITERAPIA","S"
"0145","VISITE SPECIALISTICHE","S"
