"COD_ACC","COD_MAX","FLG_NUCLEO_INDIVIDUALE","FLG_GIORNI_IMPORTO","IMPORTO","GIORNI"
"0001","0016","N","I","250","0"
"0001","0004","N","G","0","3"
"0001","0018","N","G","0","10"
"0001","0007","N","I","300","0"
"0001","0011","N","I","150","0"
"0001","0046","N","I","100","0"
"0001","0060","N","G","0","3"
"0001","0021","N","I","100","0"
"0001","0030","N","I","50","0"
"0001","0099","N","I","150","0"
"0002","0001","N","I","30000","0"
"0002","0097","N","I","60000","0"
"0002","0015","N","I","1000","0"
"0002","0016","N","I","250","0"
"0002","0007","N","I","300","0"
"0002","0011","N","I","150","0"
"0002","0021","N","I","100","0"
"0002","0060","N","G","0","3"
"0002","0004","N","G","0","3"
"0002","0099","N","I","150","0"
"0002","0030","N","I","50","0"
"0002","0018","N","G","0","10"
"0002","0046","N","I","100","0"
"0003","0251","I","G","0","3"
"0003","0252","N","G","0","999"
"0004","0251","I","G","0","3"
"0004","0252","I","G","0","999"
"0005","0001","N","I","90000","0"
"0005","0040","N","I","180000","0"
"0005","0117","N","I","1549","0"
"0005","0118","N","I","2582","0"
"0005","0004","I","I","490","0"
"0005","0015","N","I","10000","0"
"0005","0016","N","I","2200","0"
"0005","0256","N","I","1033","0"
"0005","0039","I","I","200","0"
"0005","0071","N","I","7750","0"
"0005","0018","N","G","0","70"
"0005","0007","N","I","3000","0"
"0005","0011","N","I","800","0"
"0005","0009","N","I","10000","0"
"0005","0099","N","I","1500","0"
"0005","0047","N","I","258","0"
"0005","0030","I","I","50","0"
"0005","0021","N","I","1000","0"
"0005","0050","N","I","258","0"
"0005","0250","N","I","500","0"
"0005","0186","N","I","258","0"
"0005","0255","I","I","2080","0"
"0005","0022","N","I","1300","0"
"0005","0032","N","I","6000","0"
"0012","0001","N","I","90000","0"
"0012","0004","I","I","490","0"
"0012","0007","N","I","3000","0"
"0012","0009","N","I","10000","0"
"0012","0011","N","I","800","0"
"0012","0015","N","I","10000","0"
"0012","0016","N","I","2200","0"
"0012","0018","N","G","0","70"
"0012","0030","I","I","50","0"
"0012","0040","N","I","180000","0"
"0012","0047","N","I","258","0"
"0012","0050","N","I","258","0"
"0012","0071","N","I","7750","0"
"0012","0099","N","I","1500","0"
"0012","0117","N","I","1549","0"
"0012","0118","N","I","2582","0"
"0012","0186","N","I","258","0"
"0012","0250","N","I","500","0"
