"COD_ACC","PRG_CONV","COD_VOC","COD_MAX"
"0005","1","00YO","0001"
"0005","1","005L","0001"
"0005","1","00YQ","0001"
"0005","1","0258","0001"
"0005","1","0259","0001"
"0005","1","006M","0001"
"0005","1","006N","0001"
"0005","1","006O","0001"
"0005","1","00MR","0001"
"0005","1","01VO","0001"
"0005","1","00W3","0001"
"0005","1","00W4","0001"
"0005","1","027H","0001"
"0005","1","027I","0001"
"0005","1","000C","0001"
"0005","1","012L","0001"
"0005","1","01KH","0001"
"0005","1","01SS","0001"
"0005","1","014J","0001"
"0005","1","00HF","0001"
"0005","1","026I","0001"
"0005","1","026B","0001"
"0005","1","026C","0001"
"0005","1","0260","0001"
"0005","1","0261","0001"
"0005","1","026A","0001"
"0005","1","000D","0001"
"0005","1","00AH","0001"
"0005","1","00AG","0001"
"0005","1","008J","0001"
"0005","1","008K","0001"
"0005","1","0118","0001"
"0005","1","01KI","0001"
"0005","1","00S6","0001"
"0005","1","00S5","0001"
"0005","1","00S7","0001"
"0005","1","01KJ","0001"
"0005","1","01KK","0001"
"0005","1","01KL","0001"
"0005","1","01KM","0001"
"0005","1","00LO","0001"
"0005","1","01KN","0001"
"0005","1","01KO","0001"
"0005","1","01KP","0001"
"0005","1","01KQ","0001"
"0005","1","01KR","0001"
"0005","1","00PU","0001"
"0005","1","00O4","0001"
"0005","1","022A","0001"
"0005","1","01KS","0001"
"0005","1","01KT","0001"
"0005","1","00S8","0001"
"0005","1","01YI","0001"
"0005","1","01YJ","0001"
"0005","1","01YK","0001"
"0005","1","01VP","0001"
"0005","1","00O3","0001"
"0005","1","00AI","0001"
"0005","1","01ST","0001"
"0005","1","00D8","0001"
"0005","1","01U2","0001"
"0005","1","01U1","0001"
"0005","1","01KU","0001"
"0005","1","00LP","0001"
"0005","1","00W5","0001"
"0005","1","00W6","0001"
"0005","1","01ZL","0001"
"0005","1","025A","0001"
"0005","1","025B","0001"
"0005","1","00FR","0001"
"0005","1","026K","0001"
"0005","1","020V","0001"
"0005","1","01KV","0001"
"0005","1","01KW","0001"
"0005","1","00UL","0001"
"0005","1","00S9","0001"
"0005","1","01KX","0001"
"0005","1","01KY","0001"
"0005","1","00DQ","0001"
"0005","1","01SU","0001"
"0005","1","00QA","0001"
"0005","1","00QB","0001"
"0005","1","01KZ","0001"
"0005","1","01L0","0001"
"0005","1","01L1","0001"
"0005","1","01L2","0001"
"0005","1","01L3","0001"
"0005","1","01L4","0001"
"0005","1","01L5","0001"
"0005","1","01L6","0001"
"0005","1","01L7","0001"
"0005","1","01L8","0001"
"0005","1","01L9","0001"
"0005","1","023D","0001"
"0005","1","010Q","0001"
"0005","1","010R","0001"
